a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,2637504,38.81879194630873,2727495.594873905,40.14328851515815,11999595953.25,176610.08997483223
10,57556415008,38.53581414380214,59053867922.30796,39.538405552367905,266042087650776.84,178123.47142737205
11,1982357756,38.31751067724222,2057072739.806892,39.761696108002866,9138980956520.295,176649.74917906782
12,1218116991,38.82427763819096,1248073150.284101,39.77905148472029,5573245311048.091,177632.5467098562
13,30598343793,38.66736323373464,31299501361.05197,39.55342146457751,139873708508646.88,176759.48509967016
14,3098929305,38.672197133320246,3166962332.7617884,39.52119573968908,14179641688885.135,176950.76095723064
15,350571872,38.66357039187228,358838457.120451,39.575268452191736,1612149254804.621,177799.33638070914
16,184024404,38.49065606361829,189778350.61136413,39.69415503012731,848622391194.3638,177498.37454899508
2,30010404,38.807577268195416,30592894.473788314,39.56081751346261,135500878151.76855,175221.25989317204
3,123470856,39.007458975634016,126133749.2811359,39.84873199977503,556650681468.5586,175859.54552014702
4,456110580,38.5251339627456,468609967.3076224,39.58088796537889,2108798458595.2646,178118.52362164893
5,271986385,38.62392880685564,277378764.070241,39.389683553397695,1248910096007.0464,177353.7842136451
6,896142720,38.295126353790614,919618444.4384079,39.29832128418697,4099485262823.1562,175184.49084239092
7,1510187840,38.67603654251581,1552999177.5863976,39.772438468865246,6826577479733.922,174829.21863978502
8,189147511,38.42024419062623,193514720.42933577,39.30732566380875,865017206651.9375,175705.04699192595
9,116668818475,38.58734608706733,119412526440.60495,39.49480713976779,535274241465035.7,177037.98390081176
