a_education_num,sum(a_age),avg(a_age),sum(a_hours_per_week),avg(a_hours_per_week),sum(a_fnlwgt),avg(a_fnlwgt)
1,2031480,39.078947368421055,2082643.1983094215,40.06315786221571,9230224059.9375,177558.94236567983
10,44452980128,38.562941800188504,45549279985.554146,39.513981471335015,205404792384807.1,178188.57209138692
11,1525713214,38.28259147790274,1584781427.6869388,39.76470769290102,7056779504246.635,177065.91542354628
12,944372871,38.902577633448345,966552746.3402758,39.81625733436098,4299598708023.1187,177118.04062565407
13,23507072916,38.58984644058182,24078556514.479973,39.52800936658537,107642516109517.25,176708.8646888394
14,2392708715,38.660861827888645,2446393121.3255816,39.52828267283071,10917581923528.383,176403.89053382355
15,267829688,38.662234042553195,274754216.4350357,39.66181605673851,1227094390856.004,177135.7420674704
16,138387097,38.29405576012625,143994096.3803463,39.84560754185034,633778561363.0005,175377.27211957728
2,23100702,38.86121919584954,23688203.981324963,39.84954601268244,103819245989.45215,174650.2108526366
3,96651470,39.01207115628971,99301299.11573587,40.08163918267457,438226364458.29297,176884.2016868349
4,351713883,38.537901357166504,362354449.2065589,39.703806687246306,1642737882074.2676,179997.64443491912
5,208430442,38.691081430417924,211279237.13930762,39.219905164877645,961460560464.3413,178476.56263695436
6,682399872,38.24644886363637,699976780.5342064,39.23158142449701,3146896115757.2812,176374.00930005853
7,1167390896,38.760386297376094,1197998019.3549576,39.77662167213749,5236529708342.734,173866.28167866965
8,143650815,38.20783909231562,147510782.08545822,39.23450226372069,666164527647.6572,177184.56439923527
9,89422406979,38.55275015053674,91544134894.6658,39.46749231621444,410400044228388.4,176936.08236939923
