a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,741101698.5668046,15.153960565047887,58880704989.57422,1203.9857460585677,35711788851.308975,730.230467703172
AA,7989875051.979361,15.548248155531244,619430514363.8,1205.4080057298002,381243748002.2725,741.898010059077
AQ,86631196.38898826,15.871516396643605,6543460866.53772,1198.8134847835279,3790834029.220848,694.510603103953
AS,1848560227.4326735,15.434777955034729,144331558233.33264,1205.1138611423955,88696395636.75854,740.5813193149748
B6,1470850178.7401266,15.603749931641788,113799492628.54333,1207.2601621767474,71473179185.90204,758.2346801572407
CO,3106668746.2235756,15.590307988202873,240048308499.96826,1204.6430975658047,146402774103.49908,734.6983296417989
DH,367218921.85077477,15.487599839715598,28440016722.484985,1199.4686880858999,16449517708.081417,693.764761725998
DL,8981685488.305729,15.567740986402118,695773932714.2874,1205.968343435018,430329104776.5758,745.8791616333642
EV,3181962351.0883846,15.676538745065242,244702638367.96814,1205.5737837636618,150835474033.21027,743.1194627438326
F9,570577147.8988509,15.463075263770383,44476849990.546265,1205.3565086366948,27325788632.97404,740.5496834732412
FL,1395415570.1488125,15.588252926320695,107894733721.66394,1205.297142049201,66527232060.59294,743.1788364938192
HA,494281312.53359735,15.562419248080902,38211095213.39868,1203.0741777210676,22898614485.516487,720.9615856143935
HP,1227584010.6254036,15.51140248401495,95391382060.99329,1205.3383783491017,58487708653.72594,739.0340550570976
MQ,3759015081.032729,15.641595279164651,289433438181.9917,1204.358216901875,176132606008.72992,732.9034013601847
NK,147254628.38478923,15.473410359050565,11455447903.046875,1203.7302201964558,6925756819.234276,727.7535415115987
NW,3904891886.941394,15.578170242787753,301859529285.2052,1204.2379847540392,183277498856.54077,731.166998094762
OH (1),952968179.5468397,15.371487621544494,74636252791.26428,1203.8914420468273,45360575256.62198,731.6713569542969
OO,4367541877.6321125,15.465026434361826,340289304596.67163,1204.9301960605972,208420476170.32837,737.9959399917417
TW,1004435409.8276504,15.419999083301558,78568723096.25366,1206.1797366624996,48659767530.98157,747.0202298524614
TZ,121899826.20594692,16.839879074016267,8729112894.456177,1205.885275978407,5310019388.651009,733.5538299660216
UA,6832602622.782873,15.61334429146927,527301016058.0244,1204.9482113160393,322665183451.9211,737.3299573000838
US,6092371671.516137,15.738497168278306,466392055985.70825,1204.8362194901792,285669645091.13257,737.9738372414481
VX,167606958.73421717,14.807592227698905,13654805413.232422,1206.3627431385582,8547076307.993946,755.109582940979
WN,12522355213.579235,15.5262398080842,971806211739.9397,1204.924795145421,595750659418.9052,738.6603754804668
XE,1848841981.240891,15.613055762009695,142753704429.07056,1205.5230085096869,87848470069.38882,741.8606217931288
YV,951495612.1779585,15.80824108388178,72725041886.37073,1208.2609528210087,46183746721.51564,767.3012812528937
