a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,186150675.5765742,15.411982835391695,14535691258.239014,1203.454263481194,8764572397.3422,725.6457110832246
AA,21214068986.260475,15.562763911986725,1642889128475.585,1205.2329827245533,1009707233573.0447,740.7270762860142
AQ,2314826.800128937,15.49457013660966,179579366.0432129,1202.0359718012055,107083402.38298035,716.7755654969367
AS,1154387392.4404564,15.515479096459922,89659309014.35938,1205.0609214246829,55017341777.7439,739.4575009094328
B6,720161306.6469731,15.544814287919095,55890876159.29175,1206.414843822166,34869096684.15205,752.6558665951027
CO,3238280786.1100364,15.587411229664712,250419701309.6289,1205.3911078575493,154043678063.18854,741.4867072677033
DH,47009116.015934944,15.354828979047971,3678279375.654297,1201.4552822304922,2182382047.9776764,712.842655928322
DL,26987393173.866573,15.523355396295647,2095982798738.7942,1205.6253703248315,1291564505404.6724,742.9178026002351
EV,3368787348.621161,15.560726849699716,260813225893.16602,1204.7193684023123,159383387512.3031,736.2059699238358
F9,106873100.97608864,15.399404758459362,8361419167.754517,1204.801553837206,5103403661.651001,735.3522814796085
FL,648280682.3288119,15.578898087271293,50132743475.63306,1204.7449858240072,30728738929.47837,738.4454067226083
HA,77215175.13539381,15.59018139515883,5958544408.331177,1203.0638797892382,3578630334.243187,722.545742585456
HP,499629045.56645024,15.624473218844027,38493702881.40491,1203.7807551455867,23258210731.240555,727.3341970671465
MQ,4626540329.369518,15.63817082949529,356285326970.7733,1204.2801770995943,216758600747.30872,732.6658336318256
NK,7576515.004189968,15.987851671245702,569644060.0224609,1202.0546032059224,337479764.18096924,712.1448857144017
NW,5082110363.538455,15.584382736530689,392783412683.4082,1204.47739185989,238957385182.8022,732.7671148441005
OH (1),312620011.2191291,15.552025044974318,24232143153.539795,1205.4855213766111,14962439718.809212,744.3421050795508
OO,6348008533.030693,15.572400752905168,491246331562.20483,1205.0841935193398,301390386793.22595,739.3455540893046
TW,342097502.5681721,15.385167284813955,26798355468.504517,1205.2037174948086,16466134874.441591,740.5322683614426
TZ,4600843.102281094,15.695840007781982,352356791.59313965,1202.0700779296876,207799642.47084808,708.9113602416992
UA,15313702846.203556,15.592266324297633,1183194629865.9375,1204.7174982843617,723012818600.9005,736.164762809221
US,11981571818.914211,15.644336954446336,922595029692.7207,1204.632224815919,563903272305.2648,736.2884381940735
VX,9813531.013978958,15.433040636692821,766579476.2797852,1205.5448942718338,472488832.9974747,743.0495047752472
WN,51791567381.45636,15.515522708516292,4021632774085.882,1204.7856009467669,2460319635486.4316,737.0532908078374
XE,1139981555.2987182,15.599446841489462,88079206988.78247,1205.2711737972136,54139717693.22183,740.8450112575343
YV,288239240.66272724,15.687471942472545,22185412324.356323,1207.4450118946947,13947267504.5324,759.0825147486735
