r_movieid,avg(rating),sum(rating)
1,3.928867924528302,11869110.0
6,3.8090953906827707,5779609.0
10,3.432364033346566,5948534.0
21,3.586394176931691,7270015.5
32,3.876726377683577,11453602.0
34,3.7083112758073056,8195850.0
39,3.435319377348363,5952000.0
47,4.032088509887525,12011821.5
50,4.367460262372457,11388882.0
95,3.114729645742697,4861252.0
110,4.084813802528186,16212675.0
141,3.5204169221336605,5741800.0
150,3.890882370950952,11882354.0
153,2.922790617155717,7158604.0
161,3.752454337899543,7330344.5
165,3.4874839812046132,8000916.0
185,3.128908423278068,5680139.0
208,2.8693205287071457,5529513.5
231,2.938361266294227,5806672.0
