r_movieid,avg(rating),sum(rating)
1,3.928867924528302,62469.0
6,3.8090953906827707,30907.0
10,3.432364033346566,34584.5
21,3.586394176931691,32026.5
32,3.876726377683577,56701.0
34,3.7083112758073056,42030.0
39,3.435319377348363,32000.0
47,4.032088509887525,54848.5
50,4.367460262372457,62922.0
95,3.114729645742697,25058.0
110,4.084813802528186,71737.5
141,3.5204169221336605,28709.0
150,3.890882370950952,63542.0
153,2.922790617155717,33767.0
161,3.752454337899543,32871.5
165,3.4874839812046132,40821.0
185,3.128908423278068,28119.5
208,2.8693205287071457,27786.5
231,2.938361266294227,31558.0
253,3.483568812140241,33285.5
260,4.2224039247751435,72296.0
288,3.201054127679735,27026.5
292,3.4099575173557146,32909.5
296,4.1524155622060706,87412.5
316,3.352928283359635,38243.5
318,4.453945957538066,83075.0
329,3.345408163265306,32785.0
339,3.5039560699102505,29671.5
344,2.98120390197478,37590.0
349,3.675584834632966,41008.5
356,4.012837313143079,82680.5
357,3.658406902086677,36467.0
364,3.74479955367817,46986.0
367,3.2015794582193595,36283.5
377,3.523085068831627,49904.5
380,3.494209630986653,53405.5
434,3.0744109589041098,28054.0
454,3.4996214169821527,32354.0
457,4.0058008658008655,69400.5
480,3.6627437965894005,71738.5
500,3.394474558489246,38826.0
527,4.363263327948304,67521.5
539,3.545102080879466,36117.5
541,4.142740085217961,37918.5
586,3.0509884411796477,28243.0
587,3.463727787541496,35475.5
588,3.6645855379188714,51945.5
589,3.920314479898629,68064.5
590,3.7367126302841975,57721.0
592,3.3844132558427105,54739.5
593,4.206568583742012,84918.0
595,3.6648448667283278,43586.0
597,3.429720097357441,39455.5
608,4.137777933156202,59178.5
648,3.392685046212181,42948.0
733,3.692627494456763,39969.0
736,3.221518987341772,36139.0
780,3.373372857326975,52348.0
858,4.423293307582501,52677.0
1036,3.9285264813843734,37458.5
1073,3.7149393487976163,34913.0
1089,4.0885137660396165,32818.5
1097,3.7788290398126465,40339.0
1136,4.21046416101869,41001.5
1193,4.286586798214705,36496.0
1196,4.191702898550725,57845.5
1197,4.192338507761643,41860.5
1198,4.2652617940705735,55964.5
1200,3.9941792097836313,33966.5
1210,3.990524445614266,60644.0
1214,4.037875626043406,38699.0
1221,4.300686213349969,34470.0
1240,3.9050802139037435,40894.0
1265,3.855613108875386,38706.5
1270,3.8868312757201644,49114.0
1291,4.013478486262312,38710.0
1527,3.6736916883731943,31028.0
1580,3.56829421814585,39683.0
1617,4.091134908368293,37057.5
1704,4.005004220426866,33213.5
1721,3.331121094547682,32625.0
1923,3.594880079532745,28928.0
2028,4.097097140858617,46858.5
2396,3.8885973282442747,32602.0
2571,4.2150745840504875,58775.0
2628,3.0942067358610466,29215.5
2716,3.738468186237442,34607.0
2762,4.105413226657588,48234.5
2858,4.187821288176595,55396.5
2959,4.194518170681911,41089.5
2997,3.976501305483029,33506.0
3578,3.9340730367338144,36520.0
4306,3.8964727439303712,34024.0
4993,4.162351221549384,39867.0
5952,4.113106129917658,35965.0
