r_movieid,avg(rating),sum(rating)
1,3.928867924528302,62469.0
6,3.8090953906827707,30907.0
10,3.432364033346566,34584.5
21,3.586394176931691,32026.5
32,3.876726377683577,56701.0
34,3.7083112758073056,42030.0
39,3.435319377348363,32000.0
47,4.032088509887525,54848.5
50,4.367460262372457,62922.0
95,3.114729645742697,25058.0
110,4.084813802528186,71737.5
141,3.5204169221336605,28709.0
150,3.890882370950952,63542.0
153,2.922790617155717,33767.0
161,3.752454337899543,32871.5
165,3.4874839812046132,40821.0
185,3.128908423278068,28119.5
208,2.8693205287071457,27786.5
231,2.938361266294227,31558.0
