ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,50.614994363021424,75.9749154453213,46.06521739130435,86.0,8260772,12399714,7518212,14035888
2,51.00524781341108,76.43498542274052,52.8448275862069,106.46551724137932,10146984,15205976,10512950,21180250
3,50.4375,75.73675115207374,48.82,102.14,8755950,13147900,8475152,17731504
4,49.39310731297282,74.22135051835248,54.108695652173914,107.23913043478261,8109064,12185216,8883241,17605877
5,50.532596371882086,75.41808390022676,48.27777777777778,97.38888888888889,6418044,9578700,6131664,12369168
6,49.669532817426195,74.4104327887647,48.81132075471698,95.33962264150944,9184741,13759754,9026043,17629917
7,50.39829787234043,75.57588652482269,50.90384615384615,108.59615384615384,9238008,13853060,9330675,19905675
8,50.63346727898967,75.96153846153847,55.9,98.775,7056280,10586000,7790224,13765284
9,50.284319356691555,75.58931648477886,52.4,111.44444444444444,7879050,11844090,8210556,17462230
10,50.87080103359173,76.45592879701407,49.17777777777778,98.4,7973235,11983320,7707879,15422724
11,51.296918767507,77.22829131652661,43.42372881355932,90.33898305084746,10804670,16266595,9146340,19028100
12,50.239781232009214,75.37276914219919,54.07142857142857,117.26190476190476,7330386,10997490,7889454,17109450
13,51.07329401853412,76.9196854816063,50.729166666666664,100.39583333333333,8729856,13147728,8671035,17160459
14,51.02049293824425,76.55552478537801,50.84905660377358,104.13207547169812,9764455,14651426,9731645,19929109
15,51.281976744186046,77.27587209302325,50.46938775510204,94.75510204081633,8644090,13025621,8507120,15971920
16,50.05621558968415,75.14140828745292,59.847457627118644,127.64406779661017,10191896,15299467,12185481,25989481
17,50.32034998588767,75.64041772509174,55.17948717948718,100.94871794871794,6953115,10451766,7624536,13948791
18,50.87318630295995,76.30557167730703,43.68571428571428,92.65714285714286,6135815,9203215,5268934,11175378
19,50.63093196112064,75.46426529445398,49.92857142857143,98.4047619047619,7438494,11086908,7335306,14457234
20,51.145948945615984,76.62014428412874,45.567567567567565,84.51351351351352,6820210,10217143,6076344,11269708
21,49.80918220946916,74.74318507890962,54.372093023255815,110.4186046511628,7464155,11200640,8147930,16546780
22,50.71846024164091,76.14076987917954,47.129629629629626,94.94444444444444,9747378,14633190,9057655,18246993
23,50.862412177985945,76.89197892271663,48.067796610169495,93.13559322033899,10251014,15497117,9687776,18770920
24,50.17689732142857,75.15094866071429,48.64705882352941,96.72549019607843,9171534,13736391,8891904,17679872
25,50.30668934240363,75.01077097505669,51.355555555555554,96.35555555555555,7986690,11908710,8153208,15297408
26,49.816108545034645,74.5886258660508,61.95744680851064,126.51063829787235,8110461,12143625,10087168,20596944
27,50.483752472449844,75.84882735235942,47.0,89.5,7503804,11274018,6985986,13303101
28,50.547701149425286,75.79166666666667,46.204081632653065,93.91836734693878,8619394,12923995,7878720,16014960
29,50.63777267508611,75.73909299655568,48.775862068965516,88.82758620689656,10232476,15304750,9856236,17949568
30,50.831136044880786,76.3601683029453,47.5625,95.39583333333333,8698224,13066752,8138895,16324135
