ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,50.6150,75.9749,46.0652,86.0000,8260772,12399714,7518212,14035888
2,51.0052,76.4350,52.8448,106.4655,10146984,15205976,10512950,21180250
3,50.4375,75.7368,48.8200,102.1400,8755950,13147900,8475152,17731504
4,49.3931,74.2214,54.1087,107.2391,8109064,12185216,8883241,17605877
5,50.5326,75.4181,48.2778,97.3889,6418044,9578700,6131664,12369168
6,49.6695,74.4104,48.8113,95.3396,9184741,13759754,9026043,17629917
7,50.3983,75.5759,50.9038,108.5962,9238008,13853060,9330675,19905675
8,50.6335,75.9615,55.9000,98.7750,7056280,10586000,7790224,13765284
9,50.2843,75.5893,52.4000,111.4444,7879050,11844090,8210556,17462230
10,50.8708,76.4559,49.1778,98.4000,7973235,11983320,7707879,15422724
11,51.2969,77.2283,43.4237,90.3390,10804670,16266595,9146340,19028100
12,50.2398,75.3728,54.0714,117.2619,7330386,10997490,7889454,17109450
13,51.0733,76.9197,50.7292,100.3958,8729856,13147728,8671035,17160459
14,51.0205,76.5555,50.8491,104.1321,9764455,14651426,9731645,19929109
15,51.2820,77.2759,50.4694,94.7551,8644090,13025621,8507120,15971920
16,50.0562,75.1414,59.8475,127.6441,10191896,15299467,12185481,25989481
17,50.3203,75.6404,55.1795,100.9487,6953115,10451766,7624536,13948791
18,50.8732,76.3056,43.6857,92.6571,6135815,9203215,5268934,11175378
19,50.6309,75.4643,49.9286,98.4048,7438494,11086908,7335306,14457234
20,51.1459,76.6201,45.5676,84.5135,6820210,10217143,6076344,11269708
21,49.8092,74.7432,54.3721,110.4186,7464155,11200640,8147930,16546780
22,50.7185,76.1408,47.1296,94.9444,9747378,14633190,9057655,18246993
23,50.8624,76.8920,48.0678,93.1356,10251014,15497117,9687776,18770920
24,50.1769,75.1509,48.6471,96.7255,9171534,13736391,8891904,17679872
25,50.3067,75.0108,51.3556,96.3556,7986690,11908710,8153208,15297408
26,49.8161,74.5886,61.9574,126.5106,8110461,12143625,10087168,20596944
27,50.4838,75.8488,47.0000,89.5000,7503804,11274018,6985986,13303101
28,50.5477,75.7917,46.2041,93.9184,8619394,12923995,7878720,16014960
29,50.6378,75.7391,48.7759,88.8276,10232476,15304750,9856236,17949568
30,50.8311,76.3602,47.5625,95.3958,8698224,13066752,8138895,16324135
