c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4495.080344424986,4750.468926034023,74808300307.89052,79058543739.4479
1,4481.346229755608,5156.384253028952,78037804737.26578,89792862871.50594
2,4500.105140549486,4926.83382787809,83603605816.37373,91531433245.2242
3,4501.524677669193,4976.5154988694285,84157817963.47066,93037962787.11002
4,4481.253041429967,4955.129696178991,70660420363.53293,78132509824.99881
5,4506.265234337281,5017.0251301821845,69598653692.26744,77487270820.24614
6,4487.102413253804,5263.090776363143,78849876383.04727,92485978453.0879
7,4480.553976910727,4725.51362147937,77075278088.31827,81289117007.08551
8,4500.541408321371,4898.259565227879,79001842302.08632,85983328363.8541
9,4508.518496931831,5056.460646657413,78655627223.02821,88215027610.96718
10,4518.182654178857,4934.038596818564,81935710769.6138,89477117314.22034
11,4512.102787613394,4846.607538738615,81701543083.77046,87758487178.84032
12,4496.611680855873,4905.969512720946,77354913969.39264,84397069733.3506
13,4506.9248258093485,4967.011824752373,74066058944.75458,81627052771.02942
14,4482.319229141491,4748.569539558105,80978762525.94667,85788910924.01517
15,4515.021223100628,4993.589999947751,73466872174.99268,81253978684.18982
16,4511.16046822729,5125.841805149209,75324113974.08263,85587620982.1236
17,4471.529053776929,5194.814801888827,76712255703.1714,89120736244.91217
18,4468.3660198071875,5153.130358653377,80032519501.28883,92297274684.62979
19,4490.910660820624,4865.913523827529,75466160926.56194,81767784037.10257
