c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4495.080344429765,4750.468925977643,74808300307.97005,79058543738.50961
1,4481.346229764664,5156.38425295355,78037804737.42348,89792862870.19287
2,4500.105140551925,4926.833827939439,83603605816.41904,91531433246.36395
3,4501.5246776396525,4976.515498909546,84157817962.9184,93037962787.86003
4,4481.253041407271,4955.129696173014,70660420363.17505,78132509824.90457
5,4506.265234327656,5017.025130218044,69598653692.11877,77487270820.79999
6,4487.102413259214,5263.090776269239,78849876383.14233,92485978451.43777
7,4480.553976907495,4725.513621496073,77075278088.26266,81289117007.37283
8,4500.541408299687,4898.259565216639,79001842301.70569,85983328363.6568
9,4508.518496926574,5056.460646619323,78655627222.9365,88215027610.30264
10,4518.182654191127,4934.038596868809,81935710769.83632,89477117315.13152
11,4512.1027876157095,4846.60753876971,81701543083.8124,87758487179.40335
12,4496.611680870236,4905.969512709748,77354913969.63974,84397069733.15796
13,4506.924825809789,4967.011824772687,74066058944.76181,81627052771.36325
14,4482.31922916745,4748.569539487122,80978762526.41566,85788910922.73277
15,4515.021223101871,4993.589999984816,73466872175.01291,81253978684.79294
16,4511.160468212177,5125.841805196003,75324113973.83029,85587620982.90492
17,4471.5290537675555,5194.814801836972,76712255703.01059,89120736244.02255
18,4468.366019820506,5153.130358747636,80032519501.52737,92297274686.31805
19,4490.910660836049,4865.913523817362,75466160926.82114,81767784036.93172
