c_nationkey,avg(c_acctbal),sum(c_acctbal)
0,4495.080344419559,178540096.20000046
1,4481.346229766182,179397252.2699998
2,4500.105140540132,179792700.67999992
3,4501.524677650965,178679019.02999976
4,4481.2530414088405,178887140.1599995
5,4506.265234330322,181246493.98999986
6,4487.102413260221,180022548.82000005
7,4480.553976910819,180082425.43999964
8,4500.541408299923,180782247.82999963
9,4508.518496934801,181652718.76000008
10,4518.182654188037,182484879.22000062
11,4512.1027876161315,181156414.82000005
12,4496.611680863864,179477758.6300003
13,4506.924825809675,180209389.15999985
14,4482.319229157749,177585005.54000086
15,4515.021223104769,179625604.34000012
16,4511.160468218124,178917135.32999903
17,4471.529053763429,178816446.85999954
18,4468.366019821209,179445110.98999995
19,4490.910660834782,179681335.53999963
20,4494.5004279636605,178535040.50000048
21,4497.206319937945,179726353.37000003
22,4529.535030360577,181267462.37999994
23,4489.349996525877,180911826.1599998
24,4516.768585205015,180792696.16000116
