n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4498.950363916732,942399631.6800019
ARGENTINA,4483.881114094595,941816808.6099993
BRAZIL,4511.849270332539,947858318.4100004
CANADA,4490.0091984647515,944064844.0600002
CHINA,4504.307887020714,945679440.8799989
EGYPT,4499.303304598935,947323811.4800012
ETHIOPIA,4493.961717395126,946864251.9700009
FRANCE,4496.9100311194425,945061618.3199998
GERMANY,4496.451312381657,945145072.9599996
INDIA,4508.748637985672,947621736.2400006
INDONESIA,4495.155367075718,944706347.0999999
IRAN,4508.777384683402,948349182.4299986
IRAQ,4505.856676896832,945495447.5100006
JAPAN,4486.760318215286,938621285.0500015
JORDAN,4498.323867873178,942038984.4100009
KENYA,4492.921686034,939923709.6399989
MOROCCO,4496.650758552797,945564714.8099992
MOZAMBIQUE,4497.969572242482,943426627.9299995
PERU,4498.89028777971,945959166.3600007
ROMANIA,4493.862233868938,944470531.830001
RUSSIA,4509.354628065327,947009565.4399993
SAUDI ARABIA,4508.239056401513,946225279.0700009
UNITED KINGDOM,4491.457586889729,945824613.0199997
UNITED STATES,4497.849978338879,942713372.6600022
VIETNAM,4497.42100032422,943253101.2399992
