c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4498.950364000422,4498.572489232177,13137050865863.602,13135947461813.83
1,4483.8811140932985,4470.215718969326,13149646281809.006,13109570484166.516
2,4511.849270276162,4489.6234535163485,13342053689772.455,13276329410714.186
3,4490.009198509584,4514.686379788382,13187641806805.82,13260121352641.588
4,4499.303304645745,4471.1435200462,13251165475120.12,13168230420466.877
5,4493.961717455117,4520.16957890931,13193606487126.117,13270548889539.717
6,4496.910031101867,4519.010441042321,13191170068459.002,13255999087516.73
7,4496.451312364307,4502.126251512388,13301026611714.752,13317813742584.137
8,4508.748637970765,4477.527591137992,13323561611490.36,13231301968194.1
9,4495.155367043374,4476.367164833956,13107800565918.186,13053014471235.281
10,4508.7773847013505,4537.018198933657,13459919946282.553,13544226414833.086
11,4505.85667687208,4497.508358834528,13245445724094.836,13220904953852.086
12,4486.760318274191,4487.419955336296,13200769753116.53,13202710511338.447
13,4498.323867899786,4477.462400266218,13123545091893.35,13062683219957.92
14,4492.921686088215,4423.949984744194,13141073384635.395,12939342250164.172
15,4496.650758489678,4507.040733938111,13167934218259.213,13198360088664.2
16,4497.969572256167,4484.457868517459,13048533690939.521,13009336466808.88
17,4498.890287963791,4469.888826038779,13213157636257.13,13127980878530.39
18,4504.307887046105,4507.037803002755,13369070255795.906,13377172818749.438
19,4493.862233827634,4479.01364179193,13222587445498.479,13178897453144.754
20,4508.239056370228,4505.123116469,13167670983446.754,13158569941796.002
21,4497.421000259017,4499.6547454043575,13301755233493.623,13308361848968.496
22,4509.354628055469,4529.775472510713,13154909873498.273,13214482559726.613
23,4491.457586825658,4514.1276770829,13390984870946.133,13458574251406.533
24,4497.8499784436035,4531.447833330106,13252664593162.879,13351658802394.963
