p_brand,avg(l_quantity),sum(l_quantity),avg(l_extendedprice),sum(l_extendedprice),avg(p_retailprice),sum(p_retailprice),avg(ps_availqty),sum(ps_availqty),avg(ps_supplycost),sum(ps_supplycost)
Brand#11,25.505186731286997,213476245.0,38252.92532084617,320173733436.83014,1499.8145354857268,12553320177.780016,4995.01900162666,41807884467,500.0544463402555,4185413211.2399993
Brand#12,25.496468532608993,214182421.0,38227.9402224327,321132817912.1001,1499.3391547988824,12595159587.069986,5001.0845303491205,42011480569,500.8122956573628,4207060668.549989
Brand#13,25.50072340339734,213744692.0,38259.67263830178,320689017904.6902,1500.3004422108245,12575378778.670006,4999.6674606387305,41906747686,500.1179269490825,4191941952.7200036
Brand#14,25.503890729255566,214176140.0,38256.71855801941,321271620742.31995,1500.0469026789576,12597068378.520004,4999.924813846702,41988283603,499.9984329399794,4198878340.169999
Brand#15,25.49256994077012,214502998.0,38229.17275437366,321673028098.99994,1499.6657570997309,12618688568.600006,5000.703060040165,42077585782,501.15170763485355,4216857852.7100077
Brand#21,25.498528370829337,213941858.0,38245.19091243271,320890958269.2298,1499.9510675428655,12585130939.020025,5002.70348069648,41974488179,500.8859669566068,4202614082.6000023
Brand#22,25.49904969757911,214231184.0,38228.98771883383,321182216563.3403,1499.2172931973391,12595728060.619999,4994.926725898693,41965056705,500.5259425943061,4205186725.639996
Brand#23,25.498816062079207,213929916.0,38229.42586833556,320737160691.30994,1499.2572556061552,12578465524.57001,5005.8718752227405,41998253847,500.1131452604699,4195848265.8799996
Brand#24,25.499758284320418,214471021.0,38244.62410547958,321664365920.94995,1499.8273465384796,12614609862.149961,4998.0720450644585,42037324534,500.87852211966015,4212742993.0200024
Brand#25,25.502494067981193,214623099.0,38254.17582712758,321938307046.4897,1500.0287957452203,12623895838.339958,5000.437989683414,42082531020,500.6407156589026,4213276614.980007
Brand#31,25.506973758194196,214071792.0,38239.10855916176,320928486904.98004,1499.1628523807074,12581989590.429958,5003.912380400199,41996220345,500.3565094879738,4199330568.9799995
Brand#32,25.50363734331197,214225759.0,38220.180515725806,321042330938.1598,1498.5540779900832,12587572526.950037,4996.424032585491,41969022546,500.3562170212858,4202898156.0100007
Brand#33,25.496958759950903,213994904.0,38228.77450039903,320852498773.32,1499.266486886986,12583280655.250025,4997.806567720225,41946380615,500.4283471774793,4200074099.8700023
Brand#34,25.496400841388088,213755833.0,38232.753963683324,320534424534.33954,1499.4398551700874,12570951377.380049,5000.729908102147,41924944378,500.25913101810437,4194054993.5599976
Brand#35,25.502374128117207,214824961.0,38239.48323171678,322118852646.6102,1499.4438783666249,12630901384.85002,4997.890896591579,42100853495,501.1399964599985,4221465015.5400043
Brand#41,25.501322344715984,214284475.0,38262.10741852226,321511782398.63007,1500.4099086598553,12607759912.05,5006.847853538735,42071926671,500.91997968434,4209168976.1300077
Brand#42,25.495636668741916,213891743.0,38238.266230345485,320794084084.7502,1499.7904231521188,12582262287.099958,4996.917275921475,41920872958,501.24512407103947,4205119277.8900027
Brand#43,25.494868250496815,214426680.0,38227.169893584054,321512747017.92,1499.3712757654546,12610585063.269968,4998.888646469412,42043562870,500.51727161449736,4209641555.3300023
Brand#44,25.496872641827217,214587009.0,38225.67934887549,321715306567.12006,1499.2897019430006,12618335483.1,4997.5208803631185,42060180211,500.5248838889332,4212522032.5099945
Brand#45,25.50384581242959,214044469.0,38224.783651015416,320806657136.93976,1498.8159528217295,12579015224.209995,5002.446630408685,41983708676,500.3830227967736,4199532070.53
Brand#51,25.493553128887473,214360502.0,38232.90583467407,321478330078.39014,1499.6378064452053,12609584524.469994,4998.60554717771,42030374855,500.22771224439316,4206124700.1900005
Brand#52,25.50150498835793,214993753.0,38271.45448746651,322652472345.66974,1500.7034887701122,12651875853.529972,5000.9903221941895,42161499040,500.6548226158665,4220835567.190003
Brand#53,25.50351568190422,214637741.0,38214.27632849243,321611578866.25024,1498.482537388878,12611238025.56002,4998.380172376303,42066397521,500.4788038268985,4212032615.880001
Brand#54,25.507550748084313,214189837.0,38244.94575144201,321147207643.61993,1499.3944098657669,12590587289.999979,4998.316846678889,41971441368,500.18045821213633,4200072828.360003
Brand#55,25.502015160461486,213662029.0,38215.79479587901,320181138806.42017,1498.5780278127602,12555447874.320007,5001.316913060868,41902238415,500.3037705313086,4191665562.7200017
