n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4485.720717380718,321962604.490001
ARGENTINA,4489.560106590221,322637747.49999964
BRAZIL,4506.117715604109,324210663.52000004
CANADA,4495.0545361182485,323891154.6000004
CHINA,4481.321171782625,322202510.929999
EGYPT,4493.825493733789,323793608.30000067
ETHIOPIA,4514.32771254473,326715439.5399998
FRANCE,4490.947005861893,324071226.89000005
GERMANY,4491.479131983429,324073693.81000036
INDIA,4509.047346817041,325043696.09000003
INDONESIA,4500.151155970929,325023417.2400003
IRAN,4506.275902667217,325564915.13999844
IRAQ,4511.266978477164,325095432.26999986
JAPAN,4502.861835347864,323359514.12000084
JORDAN,4509.564564077536,323380874.89000005
KENYA,4494.865630411969,321315469.58999956
MOROCCO,4499.197440836019,323766747.0400008
MOZAMBIQUE,4515.144980200785,323826197.98000026
PERU,4482.612386287633,321672264.8400005
ROMANIA,4479.590369143331,323157649.2299999
RUSSIA,4502.14155919874,324320771.4999996
SAUDI ARABIA,4512.8139744731925,324227632.810001
UNITED KINGDOM,4485.463872253013,325348636.51
UNITED STATES,4509.626645729705,324521752.680001
VIETNAM,4501.634717519984,324698410.53999895
