c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4485.078575476467,4494.869155968889,2136656072997.5002,2141320228355.1528
1,4485.986221948737,4483.516141625308,2149983225174.6436,2148799398252.8794
2,4501.0149842624,4516.66696171086,2152012681433.5825,2159496161065.7036
3,4500.447848911741,4535.122481648499,2171747306584.6501,2188479983593.9116
4,4489.104621219498,4523.598629263596,2177885560591.9888,2194620301344.3164
5,4512.1650442528835,4484.814741674712,2164832620390.3218,2151710576622.401
6,4483.745413458553,4546.477643271191,2136758989617.87,2166654455044.738
7,4488.4175334041865,4486.378388725608,2183423523945.0532,2182431567107.9717
8,4505.563116164542,4458.521949168577,2193480575377.1704,2170579134782.8677
9,4506.178894993071,4487.020315448567,2177173653380.7158,2167917129041.0278
10,4512.225304704485,4556.333656487083,2189310839776.131,2210712007971.704
11,4516.969680761263,4485.50225969401,2181291165559.447,2166095223937.503
12,4507.34821410502,4459.138703613566,2164999990916.94,2141843672652.1365
13,4504.552431642696,4499.283995089283,2132459256318.7847,2129965173617.974
14,4493.9333675386915,4408.740496550952,2125954513417.334,2085652142693.3638
15,4504.420955927316,4542.272328345231,2175006414459.027,2193283342528.2627
16,4515.168844259773,4503.377549645247,2117794000041.8875,2112263413291.158
17,4483.687680541944,4508.481965193097,2153948227520.4824,2165859317070.4426
18,4480.978729965592,4504.294116851579,2151584999398.5737,2162780106472.7488
19,4482.9390918512445,4489.418511668642,2148686765221.2935,2151792371459.233
20,4509.414587617523,4501.010858004213,2153097340336.9932,2149084835492.3481
21,4496.464462198758,4461.688575272601,2153069313519.879,2136417364945.48
22,4507.959750427709,4552.940665403408,2144503171082.7676,2165901258054.2493
23,4482.88176688981,4516.4237279712115,2171672732063.8203,2187921691114.766
24,4516.118633120668,4535.360351941721,2179606468824.3691,2188893066059.9
