a_unique_carrier,sum(a_taxi_out),avg(a_taxi_out),sum(a_air_time),avg(a_air_time),sum(a_distance),avg(a_distance)
9E,12409212.184453726,14.190243884661472,1053463386.2097168,1204.6616780882514,644933198.4377785,737.4972108714672
AA,1468138211.1034732,14.461320153095436,122123400142.47253,1202.928698598122,73548270500.88762,724.4584184076105
AQ,183026.9995970726,14.249999968629135,15332491.208251953,1193.747369063528,7576168.593811035,589.860525833933
AS,80257369.5906372,14.538030094063233,6650884789.78125,1204.7586871980805,4097359495.5683594,742.2064286008905
B6,48258956.10460663,14.120731679404654,4115448257.2226562,1204.1939003974303,2488947048.9945602,728.2742164359275
CO,217958806.0130781,14.344066390902174,18257828597.004395,1201.5642328919216,10792692200.550575,710.2768467725065
DH,3422804.0035247803,14.339354853476248,286355145.6616211,1199.6445147114416,170081757.18460083,712.533544971097
DL,1903834726.6113975,14.414076338876534,158849289693.2329,1202.6599557252057,95022221867.2682,719.4204101541402
EV,229381901.39323473,14.447034930524353,19065138718.089355,1200.769212141742,11207852522.160927,705.8980499348148
F9,7604711.97296977,13.981434549460431,651273721.0949707,1197.3814310967168,363727206.61108017,668.7206762289699
FL,42824024.567317486,15.046627007779621,3442079721.3757324,1209.4073413667224,2199435918.294689,772.7926607661777
HA,5581674.006431535,14.656410273298238,458997380.4814453,1205.2394881810897,281614203.6585617,739.4651322976136
HP,36414835.08940947,14.278082187628327,3073684389.694092,1205.176907354605,1882640636.2827759,738.1743640638377
MQ,325361399.5123744,14.355614951746986,27211622513.50708,1200.632821230965,15990525030.936241,705.5348930894372
NK,599333.99913311,14.761194008499828,49399362.7331543,1216.6731376078592,33945392.86129761,836.0522353898233
NW,345794950.3667051,14.699125188075678,28270895304.19153,1201.7452215962262,16805436030.866495,714.3690438392506
OH (1),21215388.59549904,14.578918915825922,1747393750.5721436,1200.7845950564822,1033783150.1624279,710.4013511193765
OO,440836756.90702343,14.891916164523828,35612507159.99658,1203.02688631526,21492085462.494873,726.0246109100159
TW,23638280.139300346,14.121975272378803,2015809589.9749756,1204.2844494478202,1239265993.9467545,740.361973006637
TZ,380499.7005367279,15.307547191403946,30401330.27404785,1223.049051536704,21877630.6615448,880.1396251174639
UA,1062480216.9287395,14.541265072951834,87776297293.61206,1201.3196911639477,51722002199.51248,707.8751510884389
US,847822116.7361305,14.677341769315019,69460449464.5697,1202.486625574812,41541655614.061584,719.1615612223179
VX,772476.6021966934,15.810000044958931,59099869.263671875,1209.5757114955356,38174038.7110672,781.2942838941302
WN,3528816546.947655,14.364297485174738,295807427703.3839,1204.1050684629863,180090740743.11096,733.072105036776
XE,83793043.988832,14.984337383165576,6726616413.344727,1202.890896267361,4016239764.152046,718.2062946151059
YV,20092765.46826899,15.097183074749692,1605655463.7458496,1206.447889387104,1010278647.5164833,759.0971846137248
