ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,50.43630275760635,75.69327518279913,49.986800754242616,100.85103708359523,142683493.52042425,214135064.3997358,141323033,285126758
2,50.5429461756012,75.2683342775089,49.03257328990228,98.23322475570032,136934740.49990195,203922616.34969792,132842725,266140820
3,51.07433333331713,76.50395402288083,50.22333125389894,101.06550218340611,142457552.0199548,213386358.6396997,140083920,281893920
4,49.41037960329199,73.9171104815229,50.25847728726807,102.08637236084454,136308167.1597036,203914763.09982482,138647810,281625165
5,51.20035516084812,76.26263596012429,49.39695624603678,98.82666666666667,145498814.0797608,216719650.79022703,140373998,280484904
6,49.58737292978361,75.02299828664765,49.86760025461489,100.76766390833863,136405986.79008028,206374839.16987437,137176842,277193806
7,49.40839101391519,74.89131147514412,49.837507635919366,101.09224190592548,133211889.93986629,201917385.62928358,134368848,272558736
8,50.843117033545084,76.4421205099117,50.56024844720497,102.05217391304348,141285904.1998371,212421951.00017324,140499852,283588704
9,52.14945677589693,77.61099883175886,50.77181208053691,101.58485958485959,146329706.93054995,217773979.16995275,142464080,284869952
10,51.323997772826615,77.62116926505618,48.578947368421055,97.75913312693498,148867308.49999452,225143306.30006605,140905180,283554276
11,50.06535141123586,75.34599889342132,51.434512725015516,102.95592799503414,145744092.99016625,219338004.42066428,149729827,299712634
12,49.57500594525798,73.60561831159532,49.66875391358798,99.85848465873512,133166100.51987849,197716026.05016503,133417922,268235268
13,50.948255486914775,76.15239167129064,50.81082762912259,102.17299315494711,145489825.35039783,217463739.59981275,145097381,291769184
14,50.280169204753875,75.04447264515566,50.482142857142854,101.4579081632653,139871235.0600449,208761490.64978188,140343588,282059478
15,50.396130458742675,75.26614151449826,50.32167395377889,101.84259837601499,145957726.59978467,217986476.4495635,145742085,294957450
16,50.20943999994162,75.1536457143353,50.55368289637953,103.0892634207241,140762165.03983635,210693245.76013902,141727250,289010750
17,49.561855845838885,73.6679568670186,50.99038461538461,103.29102564102564,136231664.40057427,202492586.39951137,140158290,283918108
18,50.395364732940244,75.46755313050362,50.378476420798066,102.04897218863361,145119197.820081,217317422.54034203,145070566,293861649
19,50.54927218931177,75.80647929000334,51.21571072319202,102.07044887780549,137026945.07989877,205493171.80016947,138833500,276688490
20,50.45693708612344,75.54181015415347,50.38447204968944,102.82038533250466,147199031.70008963,220379633.598915,146987628,299773656
21,48.74934756091263,73.47166463427088,49.570123939986956,100.87801696020874,122561709.68984166,184716581.4903131,124625240,253619440
22,50.06110927173977,75.17617549694073,48.94641782059001,98.690734055355,150761233.26065227,226396360.26075888,147315600,297211488
23,51.30710733778374,77.66977562131784,50.32012578616352,101.17169811320754,134522617.80000857,203643161.39928946,131934841,265263087
24,50.833581769309454,75.87804825751583,49.95288944723618,100.38505025125629,150928970.9596213,225287995.52042508,148314125,298051245
25,51.50127745669357,77.2501098264777,49.87945034353529,102.18125,142644633.2101279,213961946.68969005,138152610,282837700
26,49.97385227270395,74.71301704524826,49.6875808538163,99.71992238033636,135976853.07993653,203291130.85943872,135197920,271333920
27,50.20101309059382,75.41804780860593,50.233333333333334,100.18680600914435,135039068.58026537,202872059.80957228,135037749,269499202
28,49.27516934040257,73.26105169351176,48.59184914841849,96.56751824817518,136420030.94983143,202825785.7502966,134446455,267188031
29,51.37168013861595,77.14561778295203,50.651486401012015,100.79190385831753,140670660.75013095,211247228.01011527,138698560,275997664
30,50.539781267564315,75.60982052714648,50.47225725094577,102.01703470031546,142918313.98010653,213812323.65984485,142727367,288305751
31,50.61225698328353,75.84441340801119,49.51950464396285,98.81919504643963,146312443.1001252,219254822.50054914,143153460,285671470
32,49.75405420651301,74.84949181259708,50.56948933419522,100.17194570135747,136401137.63958907,205200480.6001694,138547101,274444786
33,50.11954285707256,74.39628000003154,50.3756345177665,101.37880710659898,138229699.19980612,205184940.24008697,138936000,279602750
34,49.41308487476335,74.40810663767661,49.50372670807453,100.08633540372671,146222212.49970222,220186981.00007987,146490438,296173482
35,50.130407925464866,75.48381118894991,50.40211311373524,102.88440024860162,138412262.02015722,208414123.98038304,139162452,284068356
36,50.06298147100379,74.57272318945934,50.271597265382226,101.47420758234928,143461931.52977112,213697758.18068716,144059747,290787432
37,50.58497794926515,75.74395810361652,48.93625241468126,100.4771410173857,142505065.94994873,213381485.61993843,137860372,283058374
38,50.69778897446924,75.45698873735195,50.9702154626109,102.45880861850443,134961874.25988892,200872993.3198623,135687097,272754160
39,51.17525207740897,77.13588365676031,48.901249256395005,97.56454491374183,155276205.7295347,234046083.87076044,148376415,296030830
40,50.89493757104129,76.38879114636389,50.42949130714746,101.01609787508049,139268194.6402714,209029218.6498341,137994554,276419036
41,51.149385315897526,76.81821855434245,50.35089894606324,100.68319900805952,144959455.11005154,217705980.92996722,142696512,285340314
42,50.66346175028319,76.33266923498621,49.69245165315034,100.99438552713661,147564982.5304241,222330425.37995183,144736769,294161398
43,50.32204197383951,74.55422575136396,49.96303377947737,100.11663479923519,139198165.43981025,206227947.89945814,138205096,276937329
44,49.59907968565877,73.7058698091679,50.93350221659278,102.12737642585552,139560799.23975357,207391954.93990082,143315568,287181774
45,50.14596746082548,74.4986926208948,50.85286783042394,102.87344139650872,138427140.84012938,205652449.00089815,140378528,283980489
46,49.99817059494225,74.94116722779101,50.70275229357798,102.7625458996328,145673169.9003059,218346336.59987506,147726018,299222748
47,50.6334140966744,75.47094713652841,50.047140163419236,100.5685534591195,146292895.4793011,218054886.83989754,144599000,290385664
48,51.50782029951658,76.8130671104541,49.24968474148802,99.07250945775536,147289599.60004503,219651420.56023592,140832330,283303587
49,50.60277714290635,75.71339428556257,50.319486866218696,100.4541564792176,144964305.82014096,216899946.2795654,144152750,287600250
50,50.498068432822464,75.86387969087825,49.30702836004932,99.01171393341554,148417055.00044492,222968797.69979137,144916512,291001764
51,50.97691322069074,76.48592312169576,50.38205128205128,101.47564102564102,136630208.9598845,205000401.12992448,134949332,271804534
52,51.64797631862653,77.94242734111985,51.72958257713248,104.73986690865094,158721048.7600134,239527367.61967033,158875722,321684830
53,52.24421440722971,78.23319342052834,49.41243654822335,100.08692893401015,145159922.79991487,217369989.12061694,137291862,278090331
54,49.43656901413756,73.83212394371817,52.306273062730625,105.26014760147602,142681353.66015312,213090584.5201622,150963750,303796575
55,50.52672517834559,75.42937465736108,50.84065244667503,100.43726474278544,146823690.6801977,219187353.50058857,147735920,291856831
