n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,1708.449962371143,204766270.23999336
ARGENTINA,1713.709313625611,205333222.53999346
BRAZIL,1699.754373937042,203895735.6799918
CANADA,1699.7383114922718,203897208.36998993
CHINA,1701.6002520565855,203943596.60999
EGYPT,1702.1877530851195,204277850.0599921
ETHIOPIA,1705.5495157553266,205407855.92999277
FRANCE,1708.0892030833056,205635151.0699961
GERMANY,1705.0544134617332,204782150.21999454
INDIA,1718.4158129402456,207081134.36999017
INDONESIA,1698.7896073197714,204323618.80999282
IRAN,1697.5865735294597,204078765.10999104
IRAQ,1713.7157057754898,205687013.86999738
JAPAN,1706.0890502479078,203652437.74999225
JORDAN,1703.999217647075,203276882.66999018
KENYA,1718.4640668786499,205304902.0699923
MOROCCO,1711.965800743442,205394808.9099952
MOZAMBIQUE,1711.3337054301894,204846644.53999367
PERU,1702.158164747993,204054720.78998938
ROMANIA,1709.1930429092465,205058726.12999395
RUSSIA,1712.5359756097173,205305662.89999536
SAUDI ARABIA,1716.8821003624034,206513446.55999133
UNITED KINGDOM,1702.2255650019229,205426283.40999705
UNITED STATES,1717.1973974199632,206195911.88999692
VIETNAM,1707.3458788777375,204900286.26999617
