n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4706.429062298862,490367550.42998075
ARGENTINA,5725.8795722095665,906143345.8204527
BRAZIL,3620.299074130706,414281683.94999903
CANADA,3395.78002718959,557043755.6601803
CHINA,5938.147586039315,739673477.7598152
EGYPT,3757.334706379149,511797832.360023
ETHIOPIA,4087.961326852463,457520543.74000084
FRANCE,4478.068096815273,419151651.9300064
GERMANY,4046.694593198786,398053113.6599986
INDIA,4523.050764088214,566380939.7298902
INDONESIA,4779.023594850234,532693864.99998134
IRAN,4324.915784066315,531687846.8299765
IRAQ,4535.375535861788,428094096.8299942
JAPAN,4599.636041901546,519450697.12006736
JORDAN,2995.6808198242425,522602510.3799788
KENYA,4430.4427623866295,359822839.3899925
MOROCCO,2790.117434276524,646233049.539957
MOZAMBIQUE,4794.861523587485,494470094.6199594
PERU,4397.702422064102,520120663.15994346
ROMANIA,4702.503758921766,462528864.7200271
RUSSIA,4604.255254461418,506633831.1799166
SAUDI ARABIA,5557.691600854098,623656362.9898427
UNITED KINGDOM,3720.633076801841,446662000.87006104
UNITED STATES,4455.7777764855155,360066946.34001803
VIETNAM,4538.065982594642,441685424.0199539
