n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4702.324580533607,171460861.17999694
ARGENTINA,5728.082088695168,317352931.9599784
BRAZIL,3612.9783719014904,144732300.6000018
CANADA,3397.2782623464454,195020758.6499977
CHINA,5935.532477964978,258599278.99997818
EGYPT,3755.7387135960116,178998507.0899859
ETHIOPIA,4087.5223560972486,159989712.5400024
FRANCE,4480.4953803899325,146821353.1199977
GERMANY,4042.5213202435343,138767629.3599998
INDIA,4520.886121514968,198448817.19002104
INDONESIA,4782.520743791306,186982213.52000868
IRAN,4328.856620980227,186028284.43000427
IRAQ,4544.302402214306,150221004.50999832
JAPAN,4600.952588458444,181783636.7699931
JORDAN,2991.9408616171777,182652005.72000545
KENYA,4432.062318963044,125835113.35999876
MOROCCO,2792.5775053320344,226514339.18999732
MOZAMBIQUE,4797.113241302846,173055860.1800002
PERU,4394.7655472762535,182246532.47999895
ROMANIA,4705.486625105424,161901678.3100023
RUSSIA,4600.725312046798,177661608.64999914
SAUDI ARABIA,5554.058311724567,218474437.74999756
UNITED KINGDOM,3719.259969038737,156164287.5799985
UNITED STATES,4453.790575210152,125512272.1999973
VIETNAM,4537.384651941655,154479797.8600056
