n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4642.167081665406,791781943.9500966
ARGENTINA,5343.651680718747,1582672067.4919171
BRAZIL,4239.779167102886,794458299.8900731
CANADA,3855.36635965859,1122262448.9993787
CHINA,4398.872914043123,948023096.0700037
EGYPT,5283.119671615584,1281742946.6503284
ETHIOPIA,4797.611876659777,904450588.5997778
FRANCE,4734.5368624628,761214102.2099065
GERMANY,4449.927411281176,710484310.3399751
INDIA,3923.9898919329157,848217503.020003
INDONESIA,4435.594275025714,795559317.980062
IRAN,4368.1338699568905,876029247.6198545
IRAQ,4456.028836063172,679045322.2699947
JAPAN,4636.6413314705305,849900992.6998796
JORDAN,4543.130086173675,1588641728.5332108
KENYA,4538.772459843988,610632830.4300306
MOROCCO,1866.7857440786836,952915717.3509166
MOZAMBIQUE,4506.785637111808,745575575.0899549
PERU,5133.0674132927725,1050523310.6696723
ROMANIA,4422.587207924554,705424772.6000059
RUSSIA,4384.386971860164,805688103.1099392
SAUDI ARABIA,4396.004671425737,873380624.1001798
UNITED KINGDOM,4348.619764031469,898216109.5002279
UNITED STATES,4496.934829740786,596653313.2100074
VIETNAM,4539.296517287722,726269285.5799663
