ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,49.8476,74.5940,50.4695,101.3488,623272776,932690712,630652638,1266426084
2,50.7300,75.7990,49.5296,98.7205,597811890,893230315,583666956,1163341872
3,50.6342,76.0255,50.7505,101.5926,635940557,954842980,637400755,1275953255
4,49.6921,74.6656,50.7562,102.5790,612961710,921014943,626088144,1265332252
5,50.6713,75.7633,49.9011,99.3270,624965100,934443465,615465774,1223517240
6,50.6378,75.9938,50.3679,101.2444,611913926,918318624,608652576,1223451060
7,50.2213,75.3761,50.3696,101.6005,627773130,942211364,629626380,1270019520
8,50.8525,76.1209,51.0491,102.5286,631728580,945631890,634170324,1273687836
9,50.0762,75.0878,51.3008,102.0720,627545237,940984319,642890972,1278365324
10,50.9133,76.0271,49.0632,98.2811,646946390,966062315,623436716,1248840432
11,50.3883,75.9268,51.9323,103.4662,638526294,962153640,658093158,1311136344
12,49.8783,74.6921,50.1666,100.3669,630712792,944484964,634358488,1269144548
13,50.5775,76.2328,51.3167,102.6795,637138539,960325523,646450974,1293482034
14,50.3118,75.3409,50.9796,101.9420,625514799,936694569,633412864,1266611780
15,50.2822,75.2533,50.8189,102.3360,633387620,947940893,640148348,1289093120
16,50.5096,75.6800,51.0331,103.5955,633494880,949183398,640059895,1299300840
17,49.7033,74.4326,51.4917,103.8064,608278320,910921440,630165315,1270403610
18,50.5540,75.8673,50.8900,102.5568,649029600,974010828,653343064,1316660298
19,50.7854,76.0187,51.7101,102.5779,633023412,947548564,644550053,1278601485
20,50.1094,74.9822,50.9031,103.3163,644360640,964201630,654566598,1327726932
21,49.9810,75.3377,50.0385,101.3692,592892349,893682279,593574242,1202477462
22,49.7879,75.0486,49.4503,99.2022,661815048,997597218,656931726,1318662252
23,49.6780,74.6070,50.8019,101.6660,593911110,891942300,607347225,1215438831
24,50.3454,75.2637,50.4384,100.9020,633744952,947415120,634916286,1270148852
25,50.3946,75.6877,50.3785,102.6625,631656939,948686959,631455824,1285991540
26,49.9908,75.0996,50.1960,100.2329,597496534,897599870,599948793,1197995760
27,50.3409,75.1490,50.7229,100.7126,597307402,891662055,601446500,1194980250
28,49.6177,74.4663,49.1058,97.0864,629788250,945187390,622912680,1231550760
29,50.9002,76.3141,51.1442,101.3011,628978716,943020651,631993944,1251787112
30,50.0257,74.9957,50.9830,102.5230,626871258,939770026,638866959,1283904599
31,49.9878,75.1508,50.0149,99.3108,640110095,962331665,640457046,1271708523
32,50.1019,75.1804,51.0892,100.6936,600684372,901357056,612126075,1206461885
33,50.5318,75.3517,50.8769,101.8756,612337464,913101304,616519398,1234515084
34,50.0932,74.9789,50.0019,100.5975,624069810,934101070,622932214,1253261956
35,49.8841,75.4703,50.8888,103.3760,603421661,912924074,615573840,1250483976
36,50.3406,75.3262,50.7906,101.9764,644420590,964265655,650180232,1305420480
37,49.9572,74.9902,49.4160,101.0052,616245930,925039791,609569649,1245946923
38,50.4346,75.6684,51.4626,102.9487,600952896,901625016,613201608,1226682603
39,50.5347,75.9945,49.3986,98.0809,660306886,992975105,645462147,1281565602
40,49.8880,74.8630,50.9105,101.4977,596797711,895568510,609029992,1214193078
41,51.0625,76.7079,50.8314,101.1816,632800869,950616711,629936853,1253911698
42,50.9085,76.5921,50.2015,101.4984,632530976,951644995,623746223,1261103202
43,50.1870,74.9558,50.4659,100.6329,609710262,910620927,613098483,1222565499
44,50.2312,75.1946,51.4465,102.6331,611042999,914713121,625826736,1247701320
45,50.5215,75.5009,51.3847,103.3965,613364788,916631464,623844549,1255303512
46,50.3441,75.6394,51.1951,103.2589,642120090,964753005,652974904,1316223725
47,50.4902,75.5013,50.5487,101.0736,629143449,940799666,629872936,1258657224
48,50.6316,75.5889,49.7396,99.5776,629967130,940490070,618868515,1238960850
49,49.8847,75.0174,50.8222,100.9670,646839269,972726681,658995516,1308406622
50,50.0027,75.0535,49.8058,99.5105,635209262,953442418,632708120,1264131792
51,50.4246,75.7713,50.8821,101.9776,599083702,900220895,604130736,1210795935
52,50.7840,76.5275,52.2196,105.2299,667185558,1005397132,685631817,1381645135
53,51.1298,76.8727,49.9232,100.5971,630543416,948009704,615663175,1240583325
54,49.9685,74.5318,52.7866,105.7749,637965978,951574224,673945012,1350465480
55,50.1400,75.2743,51.3463,100.9335,628995588,944299946,644128020,1266188560
56,50.2079,75.6205,51.1348,103.3696,631723750,951468140,643385505,1300611375
57,50.6328,76.1025,49.7424,99.6739,641108520,963603540,629445928,1261283552
58,49.6259,74.2135,50.3923,100.2516,597746650,893905150,606977268,1207535690
