ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,50.0743,75.0740,50.4695,101.3488,470896088,705991504,474314379,952480122
2,50.6474,75.6639,49.5296,98.7205,445782420,665970495,435944552,868907424
3,50.7640,76.1170,50.7505,101.5926,477831858,716475277,477704816,956272816
4,49.9236,75.1015,50.7562,102.5790,461863374,694794138,469566108,948999189
5,50.8338,76.0495,49.9011,99.3270,472732559,707227728,464058518,922526680
6,50.5080,75.8109,50.3679,101.2444,459107469,689106582,457834608,920292230
7,50.3652,75.6127,50.3696,101.6005,475394622,713704171,475435530,959001120
8,51.2628,76.8925,51.0491,102.5286,480589830,720869450,478586547,961208433
9,50.4655,75.4644,51.3008,102.0720,471794345,705505911,479603728,953674576
10,51.0173,76.3277,49.0632,98.2811,486694785,728151820,468052959,937582668
11,50.4747,75.9801,51.9323,103.4662,478943856,720959553,492775070,981768760
12,50.0113,75.0161,50.1666,100.3669,471940649,707902190,473405444,947129974
13,50.7862,76.4985,51.3167,102.6795,480213382,723338019,485229944,970895304
14,50.4106,75.4417,50.9796,101.9420,470056710,703461150,475059648,949958835
15,50.6882,75.9553,50.8189,102.3360,479688418,718804172,480924871,968458240
16,50.6276,75.8653,51.0331,103.5955,473250024,709163748,477040425,968376600
17,49.7849,74.5391,51.4917,103.8064,455967720,682685640,471599817,950737998
18,50.7372,76.0055,50.8900,102.5568,484382170,725616416,485840784,979098588
19,50.8211,75.9378,51.7101,102.5779,474347712,708778728,482645317,957429165
20,50.5518,75.5629,50.9031,103.3163,488248600,729816220,491642046,997249764
21,50.2426,75.6475,50.0385,101.3692,447035064,673075914,445219036,901935796
22,49.8968,75.1094,49.4503,99.2022,498814398,750863346,494054055,991717110
23,50.0063,75.1661,50.8019,101.6660,451776240,679079460,458963550,918489618
24,50.5258,75.5502,50.4384,100.9020,476267496,712154136,475444458,951125756
25,50.5990,75.9157,50.3785,102.6625,478357987,717699482,476273680,969955300
26,50.2209,75.3622,50.1960,100.2329,448845542,673544274,448622943,895823760
27,50.6148,75.5979,50.7229,100.7126,453246426,676965332,453917494,901863159
28,49.6718,74.4757,49.1058,97.0864,476696325,714737695,470978820,931164740
29,50.9116,76.2824,51.1442,101.3011,472322169,707695125,474480612,939801276
30,50.2080,75.3525,50.9830,102.5230,472762810,709525648,480059883,964756563
31,50.1478,75.3546,50.0149,99.3108,479614625,720693750,478343628,949811814
32,50.5086,75.7687,51.0892,100.6936,457786944,686733048,462749925,912050915
33,50.6059,75.5509,50.8769,101.8756,461780608,689405440,464253780,929619240
34,50.2997,75.4231,50.0019,100.5975,470670620,705757990,467883436,941323144
35,50.2176,75.8577,50.8888,103.3760,451511144,682043837,457545440,929463216
36,50.4908,75.4977,50.7906,101.9764,485000870,725210089,487880340,979557600
37,50.2577,75.3631,49.4160,101.0052,464555102,696615233,456774336,933636672
38,50.5883,75.9561,51.4626,102.9487,454702278,682715388,462560768,925332288
39,50.5171,76.0569,49.3986,98.0809,495333546,745758840,484366487,961710042
40,50.1889,75.3092,50.9105,101.4977,453786600,680912850,460310608,917698572
41,51.2035,76.8701,50.8314,101.1816,478202884,717910814,474727890,944962740
42,50.9231,76.5859,50.2015,101.4984,475493081,715119139,468755225,947739150
43,50.2706,74.9960,50.4659,100.6329,455657997,679772388,457428637,912147861
44,50.2998,75.1382,51.4465,102.6331,459146357,685876546,469613754,936261855
45,50.5743,75.5551,51.3847,103.3965,461498068,689452132,468893069,943509272
46,50.6240,75.9548,51.1951,103.2589,481888455,723011715,487324688,982316950
47,50.7581,75.8133,50.5487,101.0736,476299261,711410877,474334854,947849886
48,50.8889,76.0217,49.7396,99.5776,476348756,711606480,465591074,932102860
49,50.0741,75.2640,50.8222,100.9670,486581880,731357579,493851456,980520352
50,50.2475,75.4386,49.8058,99.5105,482733152,724746906,478489555,956007738
51,50.6947,76.2129,50.8821,101.9776,450432794,677168044,451808192,905511820
52,50.9044,76.6638,52.2196,105.2299,499365756,752062222,511957989,1031667795
53,51.5050,77.4850,49.9232,100.5971,469822936,706809208,455394052,917635308
54,50.0709,74.7475,52.7866,105.7749,480839094,717812334,506917886,1015772940
55,50.3416,75.4845,51.3463,100.9335,473362210,709781102,482809554,949078312
56,50.3164,75.9440,51.1348,103.3696,471879730,712222140,479554775,969425625
57,50.8155,76.3036,49.7424,99.6739,485036100,728321220,474500436,950803824
58,49.8772,74.5477,50.3923,100.2516,452648050,676539350,457322340,909808450
59,50.4553,75.6815,49.8588,100.0864,465008856,697499010,459510636,922420707
60,50.5885,76.0765,50.5700,100.7579,478545384,719651136,478370298,953127084
61,50.4202,75.3860,50.9053,101.0390,485598168,726045372,490270340,973109542
