ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,41.8844,62.8301,50.4695,101.3488,524237640,786400240,631295014,1267716052
2,42.2917,63.2454,49.5296,98.7205,495257005,740635965,580017612,1156068144
3,42.5674,63.8611,50.7505,101.5926,531896239,797968591,634146635,1269439135
4,41.6902,62.6753,50.7562,102.5790,516341739,776246757,628626768,1270462844
5,42.5955,63.7352,49.9011,99.3270,525897960,786896191,616095326,1224768760
6,42.2349,63.3954,50.3679,101.2444,509178381,764285216,607228272,1220588070
7,42.0908,63.1966,50.3696,101.6005,529860886,795552534,634078950,1279000800
8,42.9520,64.4225,51.0491,102.5286,531646150,797400800,631869032,1269065848
9,42.2654,63.2101,51.3008,102.0720,524465249,784366396,636584822,1265825774
10,42.6883,63.8963,49.0632,98.2811,541191345,810061390,622010450,1245983400
11,42.2124,63.5568,51.9323,103.4662,534444417,804683223,657507517,1309969556
12,41.7362,62.6031,50.1666,100.3669,527356549,791019652,633877792,1268182832
13,42.6050,64.1330,51.3167,102.6795,532940659,802232077,641915344,1284406704
14,42.0934,62.9889,50.9796,101.9420,523205016,782927862,633252992,1266292090
15,42.4847,63.6696,50.8189,102.3360,532988910,798762915,637544796,1283850240
16,42.4430,63.5891,51.0331,103.5955,526407588,788675814,632947210,1284862320
17,41.7249,62.5040,51.4917,103.8064,508294800,761426640,627273543,1264573842
18,42.4530,63.5704,50.8900,102.5568,539268506,807517534,646440960,1302750720
19,42.7791,63.9616,51.7101,102.5779,526915604,787822244,636919297,1263464265
20,42.2951,63.2337,50.9031,103.3163,544624360,814246230,655468092,1329555528
21,41.7979,62.9015,50.0385,101.3692,498320046,749920605,596565893,1208538023
22,41.5437,62.4878,49.4503,99.2022,557128992,838003668,662763453,1330368306
23,41.7230,62.7031,50.8019,101.6660,504114270,757604790,613809225,1228370751
24,42.2864,63.2679,50.4384,100.9020,531154880,794700928,633551220,1267418040
25,42.2877,63.4210,50.3785,102.6625,531126947,796558338,632746320,1288619700
