c_customer_sk,avg(ss_quantity),avg(ss_sales_price),sum(ss_quantity),sum(ss_sales_price)
1,52.0,54.3333,468,489
2,44.404761904761905,40.9286,1865,1719
3,47.27272727272727,39.9091,520,439
4,59.44444444444444,34.5556,535,311
5,56.29545454545455,48.5909,2477,2138
6,53.44444444444444,59.3889,962,1069
7,42.371428571428574,37.1286,2966,2599
10,53.6875,44.1250,859,706
11,40.84375,42.1875,1307,1350
12,52.142857142857146,39.2143,730,549
14,46.029411764705884,32.7647,1565,1114
15,48.029411764705884,39.5588,1633,1345
16,50.175438596491226,40.6140,2860,2315
17,46.16,45.8000,1154,1145
18,53.904761904761905,31.0000,1132,651
19,49.58620689655172,40.9310,1438,1187
20,45.11764705882353,44.7059,1534,1520
21,51.464285714285715,45.9286,1441,1286
22,38.22727272727273,42.8636,841,943
23,50.08163265306123,42.0408,2454,2060
24,41.06666666666667,47.0000,616,705
25,53.625,28.5000,429,228
27,64.0,31.9167,768,383
28,39.53846153846154,44.1538,514,574
29,54.125,42.3750,1299,1017
30,45.0,35.2857,1260,988
31,45.629629629629626,31.2222,1232,843
32,51.43478260869565,30.8696,1183,710
33,45.12903225806452,40.9355,1399,1269
34,56.166666666666664,46.7917,2696,2246
35,54.425,44.3500,2177,1774
36,59.31818181818182,52.4091,1305,1153
37,53.4,20.5000,534,205
38,49.125,48.7500,1572,1560
39,49.493506493506494,34.4675,3811,2654
40,69.42857142857143,18.5714,486,130
41,66.0,26.5000,528,212
42,56.806451612903224,41.3871,1761,1283
43,43.142857142857146,38.1429,302,267
44,44.08695652173913,43.4783,1014,1000
45,47.48275862068966,32.0000,1377,928
46,48.875,55.0000,391,440
47,51.76923076923077,32.3077,1346,840
48,38.5,24.0000,308,192
49,53.05263157894737,43.3684,2016,1648
50,52.75,36.5000,633,438
51,51.35294117647059,27.7059,873,471
52,57.65217391304348,28.7826,1326,662
53,53.1,33.4200,2655,1671
54,48.22222222222222,39.0000,434,351
56,63.666666666666664,52.8889,573,476
57,52.8235294117647,35.2059,1796,1197
58,49.351351351351354,36.8108,3652,2724
59,57.148148148148145,34.1481,1543,922
60,48.46666666666667,37.7333,727,566
61,47.516129032258064,35.4516,1473,1099
62,52.225806451612904,45.1935,1619,1401
63,48.568627450980394,41.3137,4954,4214
64,44.86666666666667,30.5333,1346,916
65,50.89473684210526,39.0702,2901,2227
66,43.5,36.5250,1740,1461
67,51.95744680851064,37.1489,2442,1746
69,51.3,45.3000,513,453
70,49.03030303030303,36.8788,1618,1217
71,44.0,23.8750,352,191
72,53.44,29.8400,1336,746
73,57.833333333333336,30.4722,2082,1097
74,48.53333333333333,54.6333,1456,1639
76,48.69387755102041,34.6122,2386,1696
77,47.06122448979592,48.2653,2306,2365
78,48.9375,41.0000,1566,1312
79,51.07692307692308,44.8462,1992,1749
80,49.166666666666664,40.2619,2065,1691
81,66.54545454545455,46.2727,1464,1018
82,59.5,50.3750,476,403
83,57.44444444444444,29.6667,1551,801
84,48.833333333333336,31.7222,879,571
85,46.6551724137931,37.7241,1353,1094
86,56.40909090909091,39.7727,1241,875
87,42.666666666666664,50.0000,640,750
88,45.64,48.8800,1141,1222
89,48.95522388059702,39.5075,3280,2647
90,52.1578947368421,33.9474,991,645
91,50.372093023255815,25.0233,2166,1076
92,45.02173913043478,46.6522,2071,2146
93,35.916666666666664,36.8333,431,442
94,62.92307692307692,51.2308,818,666
95,51.13793103448276,41.4138,1483,1201
96,46.9,32.7000,469,327
97,58.568627450980394,36.4706,2987,1860
98,52.73076923076923,49.7308,1371,1293
99,53.20618556701031,38.8351,5161,3767
100,49.85,50.9500,997,1019
101,49.104166666666664,35.6875,2357,1713
103,53.666666666666664,41.6667,483,375
104,50.785714285714285,29.2143,711,409
106,50.42857142857143,38.7143,353,271
107,49.905660377358494,36.6792,2645,1944
108,55.0,41.5676,2035,1538
109,53.0,45.6522,1219,1050
110,51.61538461538461,33.8462,671,440
111,60.89655172413793,33.2414,1766,964
112,51.54716981132076,40.6981,2732,2157
113,43.81578947368421,42.0789,1665,1599
114,52.7,52.8500,1054,1057
115,60.916666666666664,34.8333,731,418
116,45.97560975609756,33.1951,1885,1361
118,54.666666666666664,42.4667,820,637
119,37.45454545454545,46.2727,412,509
120,50.666666666666664,36.6667,760,550
121,55.65384615384615,48.9231,1447,1272
122,48.46153846153846,45.5128,1890,1775
123,47.28,33.8000,1182,845
124,40.75,39.1250,326,313
126,55.017857142857146,35.2857,3081,1976
128,48.166666666666664,26.1667,289,157
129,67.0,41.8000,670,418
130,48.98148148148148,37.3148,2645,2015
131,48.68421052631579,42.4737,925,807
132,48.96875,33.7188,1567,1079
133,53.875,44.0208,2586,2113
135,52.73076923076923,44.6154,1371,1160
136,48.48979591836735,39.9592,2376,1958
137,45.84848484848485,41.8788,1513,1382
138,50.5,42.2727,1111,930
139,57.625,21.7500,461,174
140,46.673469387755105,33.1429,2287,1624
141,62.714285714285715,30.7143,439,215
142,52.785714285714285,37.7143,2956,2112
144,47.41935483870968,33.4194,1470,1036
145,58.68181818181818,42.3636,1291,932
146,50.666666666666664,40.4737,2888,2307
147,42.10526315789474,43.7895,1600,1664
148,45.0,52.8333,540,634
149,40.875,43.4375,654,695
150,50.625,31.5208,2430,1513
151,45.94444444444444,39.1111,827,704
152,55.45454545454545,45.3636,610,499
153,44.56,37.3200,1114,933
154,47.214285714285715,33.1429,661,464
155,52.46666666666667,29.0444,2361,1307
156,53.04347826086956,49.2609,1220,1133
157,53.5,36.3472,3852,2617
158,47.0,33.1818,517,365
159,50.51162790697674,39.2326,2172,1687
160,41.61764705882353,37.6471,1415,1280
162,55.56,43.2000,1389,1080
163,70.33333333333333,41.6667,633,375
164,47.41304347826087,39.3696,2181,1811
165,47.265306122448976,37.8367,2316,1854
166,48.04761904761905,43.4762,1009,913
167,51.96666666666667,31.4000,1559,942
168,44.111111111111114,48.0000,397,432
169,47.11940298507463,34.4179,3157,2306
170,49.666666666666664,37.5667,2980,2254
171,53.38095238095238,43.7143,1121,918
172,55.72222222222222,42.1667,2006,1518
173,46.6,40.2667,699,604
174,54.73913043478261,34.8696,1259,802
175,60.13157894736842,32.5000,2285,1235
176,55.589285714285715,37.6786,3113,2110
177,48.294117647058826,36.1765,821,615
178,47.84615384615385,37.3077,1244,970
179,43.09090909090909,33.6364,1422,1110
180,50.77777777777778,40.3333,1371,1089
181,42.55555555555556,48.1111,383,433
182,56.38095238095238,31.9524,1184,671
183,50.888888888888886,35.6667,458,321
185,70.16666666666667,30.9167,842,371
187,51.35,27.4000,1027,548
188,52.09090909090909,34.5909,1146,761
189,44.609756097560975,39.4390,1829,1617
190,53.5,39.1000,535,391
191,58.94444444444444,31.7222,1061,571
192,50.25,42.3750,1608,1356
193,61.08,41.6400,1527,1041
194,44.744680851063826,41.2128,2103,1937
