ca_county,d_qoy,d_year,avg(ss_ext_sales_price),sum(ss_ext_sales_price)
Abbeville County,1,1998,2575.5405,95295
Abbeville County,1,1999,3222.6364,35449
Abbeville County,1,2000,2414.0556,43453
Abbeville County,1,2002,1227.4444,11047
Abbeville County,2,1998,1262.4375,40398
Abbeville County,2,1999,2543.7647,43244
Abbeville County,2,2001,2016.8333,24202
Abbeville County,2,2002,2582.0652,118775
Abbeville County,3,1998,2273.0000,45460
Abbeville County,3,1999,2391.6071,133930
Abbeville County,3,2000,1486.8049,60959
Abbeville County,3,2001,1674.5385,21769
Abbeville County,3,2002,1744.8049,71537
Abbeville County,4,1998,1690.7609,155550
Abbeville County,4,1999,1763.2955,77585
Abbeville County,4,2000,2231.3913,51322
Abbeville County,4,2001,2233.1383,209915
Abbeville County,4,2002,1943.0769,75780
Acadia Parish,1,1999,2344.9091,25794
Acadia Parish,1,2000,2145.0000,55770
Acadia Parish,1,2001,1505.0000,15050
Acadia Parish,1,2002,1891.8378,69998
Acadia Parish,2,1998,1653.4286,11574
Acadia Parish,2,1999,2938.5833,70526
Acadia Parish,2,2000,1687.4000,75933
Acadia Parish,2,2001,2117.8333,76242
Acadia Parish,2,2002,2070.8235,70408
Acadia Parish,3,1998,2095.4242,69149
Acadia Parish,3,1999,1271.2807,72463
Acadia Parish,3,2000,1683.2353,28615
Acadia Parish,3,2001,1886.2911,149017
Acadia Parish,3,2002,3579.2083,85901
Acadia Parish,4,1998,2005.1897,116301
Acadia Parish,4,1999,2327.1667,13963
Acadia Parish,4,2000,1681.0000,60516
Acadia Parish,4,2001,1569.0222,70606
Acadia Parish,4,2002,1970.7813,126130
Accomack County,1,1998,2344.2571,82049
Accomack County,1,1999,1848.0227,81313
Accomack County,1,2000,2067.9538,134417
Accomack County,1,2001,2010.0000,72360
Accomack County,1,2002,3704.4000,37044
Accomack County,2,1998,2092.5957,98352
Accomack County,2,1999,1861.7833,111707
Accomack County,2,2000,1794.1250,86118
Accomack County,2,2001,2603.7273,85923
Accomack County,2,2002,2020.7674,86893
Accomack County,3,1998,1733.8987,136978
Accomack County,3,1999,2459.5000,88542
Accomack County,3,2000,1716.7931,49787
Accomack County,3,2001,2441.0000,73230
Accomack County,3,2002,2144.6818,141549
Accomack County,4,1998,2230.4557,176206
Accomack County,4,1999,1884.0976,154496
Accomack County,4,2000,1969.2895,74833
Accomack County,4,2001,1846.8968,232709
Accomack County,4,2002,1846.9464,103429
Ada County,1,1998,1715.4130,78909
Ada County,1,1999,1643.5455,36158
Ada County,1,2001,1866.3684,35461
Ada County,1,2002,1609.6286,56337
Ada County,2,1998,2898.0500,115922
Ada County,2,1999,1491.1515,49208
Ada County,2,2000,1242.8889,11186
Ada County,2,2001,1801.0714,50430
Ada County,2,2002,1557.8889,42063
Ada County,3,1998,1952.6731,101539
Ada County,3,1999,2458.2500,39332
Ada County,3,2000,1814.1333,136060
Ada County,3,2001,1797.0897,140173
Ada County,3,2002,1538.1429,75369
Ada County,4,1998,1891.8723,177836
Ada County,4,1999,1802.6774,111766
Ada County,4,2000,1921.0595,161369
Ada County,4,2001,2057.6667,277785
Ada County,4,2002,1713.7703,126819
Adair County,1,1998,1959.5000,133246
Adair County,1,1999,2019.0575,175658
Adair County,1,2000,1987.7917,143121
Adair County,1,2001,1940.1416,219236
Adair County,1,2002,1693.9762,142294
Adair County,1,2003,2450.0000,31850
Adair County,2,1998,1901.6522,218690
Adair County,2,1999,1934.6628,166381
Adair County,2,2000,2374.3375,189947
Adair County,2,2001,1826.3776,178985
Adair County,2,2002,1694.8938,191523
Adair County,3,1998,1886.2054,211255
Adair County,3,1999,1959.3058,403617
Adair County,3,2000,1927.6868,350839
Adair County,3,2001,1821.0189,193028
Adair County,3,2002,1974.6425,353461
Adair County,4,1998,1834.9344,587179
Adair County,4,1999,1720.9425,388933
Adair County,4,2000,1923.6151,509758
Adair County,4,2001,1821.6620,522817
Adair County,4,2002,2050.6912,723894
Adams County,1,1998,1759.6737,334338
Adams County,1,1999,1978.7296,314618
Adams County,1,2000,1908.8850,381777
Adams County,1,2001,2094.1338,657558
Adams County,1,2002,2165.4493,640973
Adams County,2,1998,2033.2325,551006
Adams County,2,1999,2150.1525,507436
Adams County,2,2000,1882.8667,451888
Adams County,2,2001,2109.2784,704499
Adams County,2,2002,2006.1078,409246
Adams County,3,1998,1835.3727,699277
Adams County,3,1999,1963.1628,759744
Adams County,3,2000,1861.9723,1007327
Adams County,3,2001,1821.1122,892345
Adams County,3,2002,1609.6060,539218
Adams County,4,1998,1824.2183,1554234
Adams County,4,1999,2058.3773,1576717
Adams County,4,2000,1973.3619,1407007
Adams County,4,2001,1939.4735,1392542
Adams County,4,2002,1956.4090,1085807
Addison County,1,2000,1824.6197,129548
Addison County,1,2001,1572.4615,40884
Addison County,1,2002,2471.8462,32134
Addison County,2,1999,2453.8846,63801
Addison County,2,2000,1953.1667,58595
Addison County,2,2001,2050.0000,36900
Addison County,2,2002,1677.6909,92273
Addison County,3,1998,1568.8039,160018
Addison County,3,1999,1953.7907,84013
Addison County,3,2000,1972.0411,143959
Addison County,3,2001,1684.2121,111158
Addison County,3,2002,1478.5849,78365
Addison County,4,1998,2180.2992,276898
Addison County,4,1999,1673.9783,77003
Addison County,4,2000,1962.2857,260984
Addison County,4,2001,1794.2326,154304
Addison County,4,2002,2005.4110,146395
Aiken County,1,1999,1693.8710,52510
Aiken County,1,2000,1437.8500,57514
Aiken County,1,2001,1061.2500,8490
Aiken County,1,2002,2366.4815,63895
Aiken County,2,1998,1537.5696,121468
Aiken County,2,1999,1500.1538,19502
Aiken County,2,2000,2014.0263,153066
Aiken County,2,2001,1666.6154,43332
Aiken County,2,2002,1911.9231,24855
Aiken County,3,1998,1918.5000,76740
Aiken County,3,1999,1688.6203,133401
Aiken County,3,2000,2028.8333,109557
Aiken County,3,2001,1734.0870,79768
Aiken County,3,2002,2191.1395,94219
Aiken County,4,1998,1728.5556,217798
Aiken County,4,1999,1728.1250,82950
Aiken County,4,2000,1733.4104,232277
Aiken County,4,2001,2073.2308,134760
Aiken County,4,2002,1968.3258,350362
Aitkin County,1,1998,4249.7778,38248
Aitkin County,1,1999,2277.7018,129829
Aitkin County,1,2000,1456.6957,33504
Aitkin County,1,2001,1113.2500,13359
Aitkin County,1,2002,1688.5946,62478
Aitkin County,2,1998,1957.8889,17621
Aitkin County,2,1999,2056.8060,137806
Aitkin County,2,2000,1213.5200,30338
Aitkin County,2,2001,1767.6154,45958
Aitkin County,3,1998,1895.9479,182011
Aitkin County,3,1999,1972.1875,126220
Aitkin County,3,2000,2558.0000,135574
Aitkin County,3,2001,2145.9167,154506
Aitkin County,3,2002,1203.8182,39726
Aitkin County,4,1998,1990.6776,302583
Aitkin County,4,1999,1852.6036,205639
Aitkin County,4,2000,1273.8810,53503
Aitkin County,4,2001,2317.0784,236342
Aitkin County,4,2002,2081.7831,172788
Alachua County,1,1999,2778.0541,102788
Alachua County,1,2000,1537.7391,70736
Alachua County,1,2002,1300.0000,11700
Alachua County,2,1999,1591.4167,19097
Alachua County,2,2000,2114.1000,21141
Alachua County,2,2001,828.5000,4971
Alachua County,2,2002,2378.5938,76115
Alachua County,3,1998,1978.5000,39570
Alachua County,3,1999,2325.4194,72088
Alachua County,3,2000,1619.3778,72872
Alachua County,3,2001,1937.8654,100769
Alachua County,3,2002,2024.8800,101244
Alachua County,4,1998,1792.3100,179231
Alachua County,4,1999,2439.6596,114664
Alachua County,4,2000,2653.5000,74298
Alachua County,4,2001,1788.9773,157430
Alachua County,4,2002,1755.8077,45651
Alamance County,1,1998,1701.8333,61266
Alamance County,1,1999,2101.7872,98784
Alamance County,1,2000,1217.9444,43846
Alamance County,1,2002,862.5714,6038
Alamance County,2,1998,1399.2105,26585
