ss_item_sk,avg(ss_net_profit),sum(ss_net_profit)
1,-847.1701,-249068
2,-847.6114,-163589
3,-1110.5794,-139933
4,-797.4050,-96486
5,-607.1789,-74683
6,-702.4643,-39338
7,-749.9793,-217494
8,-729.1196,-152386
9,-778.3651,-98074
10,-640.0345,-74244
11,-1069.2456,-121894
12,-835.3621,-48451
13,-758.0033,-228159
14,-746.4451,-135853
15,-614.3853,-66968
16,-828.8393,-92830
17,-788.6615,-102526
18,-887.2857,-49688
19,-799.5470,-238265
20,-572.5962,-121963
21,-1189.0204,-116524
22,-694.0077,-90221
23,-722.2696,-83061
24,-840.0952,-52926
25,-864.8269,-269826
26,-771.0670,-161153
27,-1087.6855,-134873
28,-631.7700,-63177
29,-727.0189,-77064
30,-960.9844,-61503
31,-825.0453,-218637
32,-873.7200,-131058
33,-920.6940,-123373
34,-576.4679,-62835
35,-780.3985,-103793
36,-843.1500,-50589
37,-649.0865,-187586
38,-654.4800,-114534
39,-787.6852,-85070
40,-626.4811,-66407
41,-839.7355,-101608
42,-614.0820,-37459
43,-817.8070,-258427
44,-833.7514,-147574
45,-1036.8547,-121312
46,-1052.2105,-119952
47,-814.6486,-90426
48,-575.4000,-37401
49,-811.2253,-262837
50,-896.5351,-165859
51,-716.3571,-90261
52,-1160.7603,-140452
53,-785.9917,-94319
54,-624.8361,-38115
55,-761.4841,-239106
56,-758.4706,-141834
57,-887.4154,-115364
58,-1041.3019,-110378
59,-692.3707,-80315
60,-1190.5082,-72621
61,-994.1493,-266432
62,-829.2895,-126052
63,-1031.6481,-111418
64,-1245.2441,-158146
65,-713.8051,-84229
66,-560.4423,-29143
67,-816.6354,-235191
68,-907.5326,-166986
69,-950.8788,-94137
70,-456.3304,-52478
71,-910.0082,-111021
72,-644.2857,-40590
73,-864.7264,-255959
74,-760.9686,-145345
75,-1115.8880,-139486
76,-1061.7920,-132724
77,-854.1263,-81142
78,-1127.9677,-69934
79,-872.0797,-240694
80,-693.5170,-122059
81,-838.3534,-97249
82,-1092.4220,-119074
83,-1022.8889,-119678
84,-784.7358,-41591
85,-908.8258,-239930
86,-816.2901,-132239
87,-954.8636,-105035
88,-759.8846,-98785
89,-877.5929,-99168
90,-716.0159,-45109
91,-945.8704,-284707
92,-771.0233,-132616
93,-835.6429,-105291
94,-838.3529,-85512
95,-809.7679,-90694
96,-794.6863,-40529
97,-746.2491,-218651
98,-885.8426,-174511
99,-894.3578,-97485
100,-853.6606,-93049
101,-677.3391,-77894
102,-757.4528,-40145
103,-886.8482,-268715
104,-914.9408,-154625
105,-996.7444,-132567
106,-889.9167,-85432
107,-486.6529,-58885
108,-925.4386,-52750
109,-849.6145,-233644
110,-932.7707,-146445
111,-937.0147,-127434
112,-681.1140,-77647
113,-891.0938,-85545
114,-678.9074,-36661
115,-874.3021,-251799
116,-865.2514,-151419
117,-871.7705,-106356
118,-771.6937,-85658
119,-1071.8382,-145770
120,-726.9286,-40708
121,-811.0784,-206825
122,-891.6345,-175652
123,-951.5887,-117997
124,-838.8952,-88084
125,-428.6780,-50584
126,-1395.5833,-83735
127,-913.1429,-268464
128,-861.9257,-150837
129,-767.7410,-106716
130,-879.3060,-117827
131,-773.4312,-84304
132,-1189.8548,-73771
133,-873.6784,-247251
134,-726.9497,-144663
135,-614.6636,-67613
136,-793.8651,-100027
137,-758.6555,-90280
138,-623.2766,-29294
139,-839.1061,-221524
140,-836.6648,-149763
141,-829.2971,-114443
142,-464.1607,-51986
143,-826.8919,-91785
144,-960.4762,-60510
145,-781.1697,-216384
146,-761.5422,-126416
147,-636.7414,-73862
148,-814.6032,-102640
149,-889.0625,-99575
150,-531.5077,-34548
151,-877.1613,-244728
152,-776.3743,-132760
153,-847.6696,-97482
154,-655.3333,-80606
155,-921.7798,-100474
156,-982.1404,-55982
157,-898.3599,-259626
158,-924.7378,-151657
159,-630.9813,-67515
