ws_sold_date_sk,d_day_name,avg(ws_sales_price),sum(ws_sales_price)
2450816,Friday,51.9111,11680
2450817,Saturday,51.2821,10000
2450818,Sunday,52.6017,12151
2450819,Monday,53.8969,10456
2450820,Tuesday,48.0990,15055
2450821,Wednesday,53.3578,11632
2450822,Thursday,53.1257,8872
2450823,Friday,48.5373,12377
2450824,Saturday,55.2405,17456
2450825,Sunday,51.1899,9163
2450826,Monday,53.5985,13882
2450827,Tuesday,47.6545,9102
2450828,Wednesday,49.7811,10006
2450829,Thursday,51.8607,18618
2450830,Friday,50.7222,10956
2450831,Saturday,52.1521,16115
2450832,Sunday,54.8625,14758
2450833,Monday,49.8396,14603
2450834,Tuesday,45.9308,7303
2450835,Wednesday,51.1907,11006
2450836,Thursday,47.5253,10313
2450837,Friday,46.5302,13075
2450838,Saturday,52.6103,7155
2450839,Sunday,50.9189,9420
2450840,Monday,52.6648,9269
2450841,Tuesday,51.3908,12231
2450842,Wednesday,54.9541,10771
2450843,Thursday,51.5675,12995
2450844,Friday,45.7569,9975
2450845,Saturday,50.7267,15776
2450846,Sunday,50.6089,10223
2450847,Monday,46.1518,10338
2450848,Tuesday,50.1197,11728
2450849,Wednesday,52.3362,12142
2450850,Thursday,48.8834,10901
2450851,Friday,51.1714,12537
2450852,Saturday,52.2681,14426
2450853,Sunday,54.7112,10231
2450854,Monday,49.3980,9682
2450855,Tuesday,59.6606,9844
2450856,Wednesday,57.2653,8418
2450857,Thursday,49.0611,8831
2450858,Friday,53.2578,11983
2450859,Saturday,48.8758,15738
2450860,Sunday,47.5904,11850
2450861,Monday,51.7733,11649
2450862,Tuesday,49.5187,11934
2450863,Wednesday,44.6532,9913
2450864,Thursday,46.0000,7176
2450865,Friday,51.7797,14809
2450866,Saturday,45.9196,10286
2450867,Sunday,47.0448,9456
2450868,Monday,45.5391,16303
2450869,Tuesday,47.7824,11420
2450870,Wednesday,51.8396,10990
2450871,Thursday,46.1692,9280
2450872,Friday,50.0131,15304
2450873,Saturday,48.3505,10347
2450874,Sunday,46.9845,9068
2450876,Tuesday,41.4074,3354
2450877,Wednesday,53.0046,11449
2450878,Thursday,49.9409,10138
2450879,Friday,46.4525,14168
2450880,Saturday,55.2641,12766
2450881,Sunday,51.5170,9067
2450882,Monday,55.9752,11307
2450883,Tuesday,50.3933,12044
2450884,Wednesday,53.4030,14312
2450885,Thursday,53.0342,12410
2450886,Friday,49.5721,10311
2450887,Saturday,53.7537,14621
2450888,Sunday,49.1130,14341
2450889,Monday,53.2045,16653
2450890,Tuesday,51.0529,10619
2450891,Wednesday,53.2886,10711
2450892,Thursday,51.9615,8106
2450893,Friday,53.7915,11350
2450894,Saturday,55.0897,8594
2450895,Sunday,47.8981,9867
2450896,Monday,53.9915,12634
2450897,Tuesday,48.8754,13734
2450898,Wednesday,49.2357,15460
2450899,Thursday,63.0484,7818
2450900,Friday,59.6202,12401
2450901,Saturday,51.7411,10193
2450902,Sunday,49.4065,12154
2450903,Monday,52.0730,12133
2450904,Tuesday,50.9794,9890
2450905,Wednesday,50.9881,8566
2450906,Thursday,43.4317,9859
2450907,Friday,44.9133,7770
2450908,Saturday,47.2099,8545
2450909,Sunday,50.6597,14590
2450910,Monday,50.4393,10794
2450911,Tuesday,46.4644,13707
2450912,Wednesday,50.8592,7222
2450913,Thursday,52.2510,13533
2450914,Friday,51.7874,10720
2450915,Saturday,46.5000,9207
2450916,Sunday,54.5939,12502
2450917,Monday,47.1339,11265
2450918,Tuesday,48.1698,10212
2450919,Wednesday,49.8139,15791
2450920,Thursday,54.1950,8617
2450921,Friday,55.2381,8120
2450922,Saturday,52.8974,10315
2450923,Sunday,51.6560,11261
2450924,Monday,49.1705,12686
2450925,Tuesday,47.3103,12348
2450926,Wednesday,48.8541,18076
2450927,Thursday,55.7337,11091
2450928,Friday,52.5265,12869
2450929,Saturday,46.9676,8689
2450930,Sunday,48.4449,11869
2450931,Monday,51.3605,13251
2450932,Tuesday,55.1285,9868
2450933,Wednesday,49.9509,8142
2450934,Thursday,49.8170,11707
2450935,Friday,49.2059,11711
2450936,Saturday,44.9026,8756
2450937,Sunday,50.6806,14596
2450938,Monday,50.3447,13291
2450939,Tuesday,46.9101,12525
2450940,Wednesday,43.6148,11209
2450941,Thursday,48.8854,15790
2450942,Friday,51.8535,14156
2450943,Saturday,53.8618,11688
2450944,Sunday,47.2611,10681
2450945,Monday,54.3088,11079
2450946,Tuesday,49.0650,13591
2450947,Wednesday,44.4233,9551
2450948,Thursday,52.6078,14888
2450949,Friday,51.5292,14995
2450950,Saturday,57.5258,12253
2450951,Sunday,55.1520,13788
2450952,Monday,44.2190,9286
2450953,Tuesday,51.4541,11783
2450954,Wednesday,43.8478,6051
2450955,Thursday,51.2607,13174
2450956,Friday,50.3128,9811
2450957,Saturday,45.7710,14189
2450958,Sunday,61.7459,11176
2450959,Monday,51.0829,9859
2450960,Tuesday,46.1749,8450
2450961,Wednesday,44.0787,11769
2450962,Thursday,48.2760,10669
2450963,Friday,54.7953,11781
2450964,Saturday,54.3962,11532
2450965,Sunday,49.1382,13513
2450966,Monday,43.2677,10990
2450967,Tuesday,48.0000,9168
