i_brand_id,i_brand,avg(ss_ext_sales_price),sum(ss_ext_sales_price)
1001001.0,amalgamalg #1,1896.8412,46639532
1001001.0,amalgamalg #2,2387.6460,269804
1001001.0,amalgamalgamalg #15,1811.6457,230079
1001001.0,amalgedu pack #1,1556.9516,96531
1001001.0,amalgedu pack #2,1746.6862,417458
1001001.0,amalgexporti #1,1839.2462,239102
1001001.0,amalgimporto #2,1838.7557,647242
1001001.0,amalgmaxi #6,2204.3534,255705
1001001.0,amalgnameless #2,1764.9008,231202
1001001.0,amalgscholar #1,1298.5385,67524
1001001.0,amalgscholar #2,1908.9358,208074
1001001.0,amalgunivamalg #10,2092.5950,253204
1001001.0,amalgunivamalg #12,1944.2542,229422
1001001.0,amalgunivamalg #6,1947.6154,227871
1001001.0,brandbrand #4,1599.4921,201536
1001001.0,brandunivamalg #10,2067.3922,105437
1001001.0,corpamalgamalg #13,1923.2931,111551
1001001.0,corpmaxi #4,1941.4828,225212
1001001.0,corpmaxi #6,1985.0769,258060
1001001.0,corpunivamalg #12,2098.2087,241294
1001001.0,edu packbrand #3,2277.4906,120707
1001001.0,edu packbrand #5,1946.6719,124587
1001001.0,edu packcorp #2,1847.8636,203265
1001001.0,edu packedu pack #2,1775.6627,442140
1001001.0,edu packexporti #1,1908.6792,101160
1001001.0,edu packexporti #2,1817.8957,418116
1001001.0,edu packimporto #1,2109.3725,107578
1001001.0,edu packimporto #2,1906.0591,484139
1001001.0,edu packnameless #8,1926.5175,219623
1001001.0,edu packunivamalg #9,1676.2698,211210
1001001.0,exportiamalg #2,1836.9972,666830
1001001.0,exportibrand #4,2136.0984,260604
1001001.0,exportibrand #6,1940.5905,203762
1001001.0,exporticorp #2,1527.6075,163454
1001001.0,exportiedu pack #2,1899.3200,712245
1001001.0,exportiexporti #1,2691.4545,177636
1001001.0,exportiexporti #2,1783.7480,445937
1001001.0,exportiimporto #2,1824.5361,1112967
1001001.0,exportimaxi #12,1938.3077,251980
1001001.0,exportimaxi #4,2161.8640,270233
1001001.0,exportimaxi #7,2029.8571,213135
1001001.0,exportinameless #2,1889.2681,260719
1001001.0,exportischolar #2,2135.2131,260496
1001001.0,importoamalg #2,1811.3694,201062
1001001.0,importoamalgamalg #7,1698.2213,207183
1001001.0,importoamalgamalg #9,1936.1379,224592
1001001.0,importoexporti #2,2047.4787,432018
1001001.0,importoimporto #2,1943.8368,655073
1001001.0,importoscholar #2,1911.1532,848552
1001001.0,maxicorp #1,1898.0328,115780
1001001.0,maxicorp #2,1923.7400,192374
1001001.0,maximaxi #10,2105.2857,265266
1001001.0,namelessbrand #10,2153.6094,275662
1001001.0,namelesscorp #3,2153.9922,275711
1001001.0,namelessunivamalg #17,1732.4107,194030
1001001.0,scholaramalgamalg #13,1764.8898,208257
1001001.0,scholaramalgamalg #8,1754.1518,392930
1001001.0,scholarmaxi #12,1879.6082,182322
1001001.0,scholarmaxi #4,1996.4265,271514
1001001.0,scholarunivamalg #1,1940.8435,223197
1001001.0,scholarunivamalg #12,2063.1532,255831
1001001.0,scholarunivamalg #7,2144.7059,255220
1001001.0,univamalgamalg #14,1991.6396,221072
1001001.0,univnameless #6,1861.7876,210382
1001002.0,amalgamalg #2,1922.8310,58146408
1001002.0,amalgedu pack #1,1620.1290,100448
1001002.0,amalgunivamalg #5,2319.6182,127579
1001002.0,brandnameless #7,2074.0000,132736
1001002.0,corpcorp #1,1817.0290,125375
1001002.0,edu packamalg #1,2182.5192,113491
1001002.0,edu packimporto #1,2485.5818,136707
1001002.0,edu packmaxi #1,2377.4038,123625
1001002.0,importoamalg #1,1638.6610,96681
1001002.0,importonameless #5,1496.5283,79316
1001002.0,importounivamalg #2,2090.0000,110770
