d_week_seq,ss_store_sk,avg(ss_sales_price),sum(ss_sales_price)
5114,1,34.9338,19528
5114,2,37.5566,20243
5114,4,36.5461,21818
5114,7,37.7324,25658
5114,8,38.2942,23168
5114,10,37.3736,22611
5115,1,37.3045,37118
5115,2,37.1026,38327
5115,4,36.7736,37840
5115,7,38.8186,38081
5115,8,36.3950,32064
5115,10,38.7837,37659
5116,1,36.8450,34229
5116,2,39.9414,32712
5116,4,38.4200,41801
5116,7,36.5687,30352
5116,8,37.2773,35898
5116,10,37.0623,39842
5117,1,39.5399,44087
5117,2,38.9923,35288
5117,4,36.4520,39842
5117,7,37.2339,35819
5117,8,35.9168,34085
5117,10,37.8862,32620
5118,1,38.3601,36749
5118,2,38.5723,36798
5118,4,40.3085,31360
5118,7,37.4242,38996
5118,8,38.9210,39894
5118,10,38.7610,37133
5119,1,37.9652,40357
5119,2,38.4514,39951
5119,4,38.5325,37916
5119,7,35.9988,31247
5119,8,39.4673,35047
5119,10,37.5695,36217
5120,1,37.4355,32494
5120,2,36.8462,37841
5120,4,38.7533,41156
5120,7,38.1031,34369
5120,8,37.3340,37222
5120,10,38.5578,42375
5121,1,38.4805,33632
5121,2,36.9421,33802
5121,4,38.1528,38191
5121,7,39.7117,39394
5121,8,37.6367,38954
5121,10,36.0184,29355
5122,1,39.1547,33164
5122,2,35.6194,25646
5122,4,36.3593,36941
5122,7,37.2647,33501
5122,8,36.4673,25673
5122,10,37.0421,29041
5123,1,37.2266,35328
5123,2,37.0199,35354
5123,4,37.6961,38827
5123,7,38.9276,39784
5123,8,39.0075,46575
5123,10,38.5538,39055
5124,1,37.2482,31065
5124,2,37.4031,31269
5124,4,39.4758,32686
5124,7,37.9319,38994
5124,8,40.5239,38214
5124,10,37.7043,39024
5125,1,39.3721,39254
5125,2,37.5222,48066
5125,4,38.6231,37812
5125,7,36.7212,36354
5125,8,35.1869,37087
5125,10,37.4466,39244
5126,1,39.1098,40596
5126,2,38.5048,48131
5126,4,37.5590,35005
5126,7,39.2052,29992
5126,8,38.8073,39079
5126,10,36.0019,37334
5127,1,37.2404,42752
5127,2,35.9542,38435
5127,4,36.8684,36979
5127,7,38.2726,34675
5127,8,36.6399,36017
5127,10,39.6135,38227
5128,1,37.8729,42001
5128,2,36.3079,35255
5128,4,37.6813,39603
5128,7,36.3949,38615
5128,8,38.4299,41658
5128,10,40.1729,39731
5129,1,36.5305,34083
5129,2,40.8917,42650
5129,4,39.0210,29773
5129,7,34.8744,33584
5129,8,37.5648,34184
5129,10,37.8259,31509
5130,1,38.3626,30997
5130,2,36.7008,28700
5130,4,34.9152,30062
5130,7,37.6755,34247
5130,8,36.1175,36262
5130,10,38.3877,32476
5131,1,38.7426,35217
5131,2,36.4719,35086
5131,4,38.9658,37602
5131,7,38.1197,37586
5131,8,36.5905,34578
5131,10,37.0706,33067
5132,1,39.7862,39826
5132,2,41.3088,35856
5132,4,38.9507,41833
5132,7,39.5456,35591
5132,8,39.1374,37611
5132,10,37.2934,33937
5133,1,36.3176,37734
5133,2,38.3317,31892
5133,4,37.9741,38126
5133,7,35.7852,34819
5133,8,36.7514,38736
5133,10,37.6993,38491
5134,1,36.9363,33058
5134,2,40.3859,37357
5134,4,37.6116,34377
5134,7,37.1535,33884
5134,8,37.2573,39679
5134,10,38.6948,39430
5135,1,37.9456,40488
5135,2,39.2196,35533
5135,4,38.8111,38617
5135,7,38.7547,39336
5135,8,38.3861,37580
5135,10,37.4548,41013
5136,1,38.3668,39019
5136,2,37.2207,37779
5136,4,36.2675,35796
5136,7,38.3622,38132
5136,8,37.4934,42780
5136,10,36.9106,38387
5137,1,37.4839,44156
5137,2,38.3567,36132
5137,4,38.1542,40825
5137,7,38.9803,37577
5137,8,37.1296,42105
5137,10,38.7237,38259
5138,1,39.0634,34493
5138,2,36.9711,35862
5138,4,38.2045,26896
5138,7,36.9915,34661
5138,8,38.1885,35248
5138,10,37.9140,40985
5139,1,39.2966,42401
5139,2,38.0303,35102
5139,4,37.5354,29165
5139,7,36.6877,34303
5139,8,38.6599,34214
5139,10,38.0248,36846
5140,1,38.8584,43366
5140,2,37.9873,35784
5140,4,39.8213,42569
5140,7,38.3684,44891
5140,8,37.3888,33276
5140,10,40.1626,37552
5141,1,37.7008,32385
5141,2,36.7964,34331
5141,4,38.7175,38369
5141,7,38.1959,40564
5141,8,38.7601,44264
5141,10,39.3364,38235
5142,1,37.6072,38397
5142,2,39.5086,39232
5142,4,36.5191,33488
5142,7,38.2865,35683
5142,8,36.9907,31960
5142,10,39.1873,41225
5143,1,41.2934,42780
5143,2,37.7110,36542
5143,4,36.5009,38764
5143,7,37.3375,39055
5143,8,36.0570,34795
5143,10,39.9594,37362
5144,1,36.9346,38375
5144,2,37.5000,48525
5144,4,38.1472,41466
5144,7,38.2995,38108
5144,8,37.6691,46559
5144,10,36.2861,45793
5145,1,37.7182,83508
5145,2,37.4077,88170
5145,4,37.3548,85169
5145,7,37.0919,87611
5145,8,36.9463,72230
5145,10,37.2157,84368
5146,1,37.5571,75377
5146,2,37.9914,87988
5146,4,37.5450,80121
5146,7,37.2306,81535
5146,8,37.7402,88048
5146,10,37.6505,83283
5147,1,37.1608,76477
5147,2,38.7836,84936
5147,4,38.5221,98655
5147,7,37.7226,79821
5147,8,37.7249,82014
5147,10,37.8579,80978
5148,1,38.7766,79492
5148,2,38.6647,87189
5148,4,37.8537,75821
5148,7,38.4706,73325
5148,8,37.4804,91752
5148,10,37.9198,92145
5149,1,38.5692,93646
5149,2,38.4435,91111
5149,4,37.3335,88779
5149,7,38.6746,92935
5149,8,39.1030,91462
5149,10,37.4291,86349
5150,1,37.5328,85312
5150,2,39.2093,88809
5150,4,37.9251,94168
5150,7,37.8424,93168
5150,8,36.5361,82060
5150,10,37.4500,89206
5151,1,38.1926,97582
5151,2,37.1540,83708
5151,4,37.8356,79871
5151,7,37.3360,91884
5151,8,36.8987,84129
5151,10,38.2568,90860
5152,1,37.3765,83088
5152,2,38.1893,88752
5152,4,36.2274,85533
5152,7,37.6233,79310
5152,8,37.9733,85364
5152,10,37.2783,73140
5153,1,38.1460,88842
5153,2,38.0397,89089
5153,4,38.0207,97257
5153,7,38.5134,97670
5153,8,36.2624,89822
5153,10,38.5706,95578
5154,1,39.2999,84927
5154,2,39.0262,89370
5154,4,37.8250,90553
5154,7,37.7430,88394
5154,8,38.1427,76438
5154,10,38.4324,82476
5155,1,38.9943,95536
5155,2,37.7324,80785
5155,4,37.3663,93341
5155,7,39.9851,91446
5155,8,38.3205,83922
5155,10,36.9440,76585
5156,1,37.6089,76647
5156,2,39.2842,98014
5156,4,37.7764,74155
5156,7,36.7499,77579
5156,8,37.4998,80962
5156,10,37.4893,80827
5157,1,37.7896,82268
5157,2,37.9139,88112
5157,4,38.3597,79980
5157,7,37.2447,78400
5157,8,37.9974,87356
5157,10,37.4329,85609
5158,1,37.5985,120804
5158,2,37.9971,119235
5158,4,37.5222,127538
5158,7,38.7531,139860
5158,8,38.9475,129734
5158,10,37.7572,130338
5159,1,38.2981,120639
5159,2,38.0996,125043
5159,4,38.0864,127361
5159,7,37.4796,122296
5159,8,38.2093,121926
5159,10,37.7442,117309
5160,1,37.7261,128382
5160,2,37.9669,130834
5160,4,38.1042,121400
5160,7,37.6970,132769
5160,8,37.8020,129850
5160,10,37.2556,128122
5161,1,38.0790,127222
5161,2,38.1904,145429
5161,4,38.8329,134051
5161,7,38.2906,124521
5161,8,38.4016,127071
5161,10,38.0123,126429
5162,1,37.6552,132132
5162,2,38.0659,131213
5162,4,37.0814,124816
5162,7,37.6830,125070
5162,8,37.6593,117384
5162,10,38.0182,121468
5163,1,37.8011,118431
