n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4497.454817965544,699444173.2900014
ARGENTINA,4486.942399540454,699106008.3299986
BRAZIL,4502.645896649518,701773384.1600006
CANADA,4499.323642601971,700256734.4400004
CHINA,4491.274338837663,700629814.3099978
EGYPT,4496.391931552892,701059444.4000007
ETHIOPIA,4499.886052048548,704785653.1299996
FRANCE,4493.146655485491,703235862.4900006
GERMANY,4489.3342638421445,701673966.7699995
INDIA,4507.721412933165,706211190.6000001
INDONESIA,4498.736228909355,704439111.1400003
IRAN,4507.5732592758,705840896.6699976
IRAQ,4509.268988734541,704081769.1700001
JAPAN,4493.6595928574725,698094511.4100013
JORDAN,4504.6484091861,699080891.2700001
KENYA,4499.241846992559,698201348.2999992
MOROCCO,4499.5839662598955,700940690.6800003
MOZAMBIQUE,4507.234987093572,700194448.0099994
PERU,4490.7726434195065,700452753.830001
ROMANIA,4487.904610781898,699789990.1499997
RUSSIA,4518.2511206642275,704711627.2899996
SAUDI ARABIA,4508.931846263274,703718011.1100017
UNITED KINGDOM,4491.3742761606,704507986.2099994
UNITED STATES,4505.466894578151,703758434.4000018
VIETNAM,4497.587371079811,701569658.8399976
