n_name,avg(c_acctbal),sum(c_acctbal)
ALGERIA,4498.59524058238,539179132.5600011
ARGENTINA,4487.742383615139,537712316.9199988
BRAZIL,4502.577684484313,540111208.7200003
CANADA,4497.830750596048,539550781.1800008
CHINA,4498.1595843275845,539122418.8199983
EGYPT,4499.53038130474,539984141.5300006
ETHIOPIA,4498.321789679078,541755384.7399998
FRANCE,4494.246993911407,541057901.3500004
GERMANY,4493.813519062802,539720485.0799997
INDIA,4510.3964875069505,543534349.5200001
INDONESIA,4497.020938840671,540883690.4400005
IRAN,4504.833565801828,541557576.7799983
IRAQ,4509.38174348464,541234034.3800004
JAPAN,4495.166126767651,536578990.220001
JORDAN,4503.106212885813,537193552.5600002
KENYA,4503.272343182382,538005946.8399992
MOROCCO,4494.622060662134,539246776.3500001
MOZAMBIQUE,4507.150332247278,539505894.7699991
PERU,4496.58389497832,539050477.330001
ROMANIA,4484.522161134915,538026061.7600003
RUSSIA,4515.1389199559535,541292914.2799995
SAUDI ARABIA,4511.074772205791,542610117.9000014
UNITED KINGDOM,4493.317116033174,542258002.8799995
UNITED STATES,4500.026550213624,540349688.0700014
VIETNAM,4499.608489388461,540002514.4199985
