c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,4498.595240608181,4494.869155965981,4287013283009.1562,4283462446914.695
1,4487.742383630776,4483.516141619757,4306537946227.276,4302482349886.2773
2,4502.577684404999,4516.666961711724,4307386889466.126,4320865383921.255
3,4497.830750634131,4535.122481640294,4350397948691.18,4386467307247.9653
4,4499.530381349148,4523.598629258851,4368471705020.8193,4391838912500.6895
5,4498.321789728067,4484.814741673551,4298287222573.9688,4285380815522.3447
6,4494.2469938914355,4546.477643261472,4274898478547.3564,4324579932154.377
7,4493.813519037565,4486.378388727929,4364719562817.446,4357498021786.1846
8,4510.39648752956,4458.521949174086,4394475215891.2285,4343933900117.9487
9,4497.020938875227,4487.020315446081,4338428081052.582,4328780141649.4155
10,4504.833565827483,4556.33365648111,4371994317369.8247,4421975765161.743
11,4509.381743460778,4485.502259696417,4352062870426.5537,4329016470594.3525
12,4495.166126786615,4459.13870361293,4313021923406.5635,4278454331996.3145
13,4503.10621287624,4499.283995080131,4244903452320.0967,4241300395951.622
14,4503.272343109338,4408.740496547578,4279299301095.9424,4189469054532.6763
15,4494.622060582943,4542.272328342056,4351721485067.828,4397856775461.8945
16,4507.150332230902,4503.377549631048,4231884238560.497,4228341871866.9214
17,4496.583895028093,4508.481965199843,4331270585394.501,4342731232534.843
18,4498.159584387493,4504.294116849642,4309744616104.466,4315622190644.6904
19,4484.522161127475,4489.418511665044,4294524024961.1973,4299212929210.683
20,4511.0747722779415,4501.01085800236,4332199181382.9004,4322534326910.9434
21,4499.608489333247,4461.688575268692,4309760067533.1245,4273440078408.0435
22,4515.138919883686,4552.940665404143,4287039881028.98,4322931930751.9775
23,4493.317115983462,4516.423727969753,4350535957058.103,4372908325554.9893
24,4500.026550336483,4535.360351937373,4346032541265.675,4380157195830.7935
