p_brand,avg(l_quantity),sum(l_quantity),avg(l_extendedprice),sum(l_extendedprice),avg(p_retailprice),sum(p_retailprice)
Brand#11,25.480363790997362,12223593.0,38289.44412623037,18368441872.899994,1501.6935411255608,720401435.7100008
Brand#12,25.520984585912842,12363054.0,38262.76973735981,18535518755.56,1499.4118136685202,726355566.6600002
Brand#13,25.50645399897903,12241440.0,38290.03158579806,18376726309.129993,1500.9658982153833,720366068.36
Brand#14,25.489451266388247,12267818.0,38228.17870950984,18398840131.09999,1499.7319803860441,721806004.8399992
Brand#15,25.507690452528763,12268842.0,38268.1311342326,18406435321.730003,1500.3484800389203,721646614.0200001
Brand#21,25.47482319777122,12362626.0,38167.741387670845,18522346882.54001,1498.2751552068053,727094953.5200001
Brand#22,25.50597395427044,12195911.0,38280.507433803396,18304169154.039997,1500.8259253093645,717633423.6200004
Brand#23,25.517715289393045,12174553.0,38336.06502538239,18290213295.73999,1502.5299328026288,716860035.9999998
Brand#24,25.549111069426207,12258208.0,38293.4672262448,18372822640.479992,1498.6977231080255,719060180.5699996
Brand#25,25.506777525505566,12065573.0,38331.83268299954,18132260141.370007,1502.6161271282804,710788517.079999
Brand#31,25.47268054559704,12220977.0,38206.65915588368,18330332449.9,1500.0018809091064,719652902.4000001
Brand#32,25.483429027045954,12081235.0,38175.74588043841,18098433958.49,1498.2469383566556,710291905.03
Brand#33,25.487939814672732,12457409.0,38162.83296447927,18652351751.219994,1497.2340981101033,731783646.0899998
Brand#34,25.506187682243887,12219938.0,38206.00486703111,18304382313.780003,1497.7843622272735,717583994.59
Brand#35,25.48242739827526,12381147.0,38196.71147595037,18558636204.820004,1499.47470794657,728549776.35
Brand#41,25.530191387659205,12289698.0,38290.96655115824,18432467187.430004,1499.8488157771724,721995723.0899994
Brand#42,25.52923567941925,12238205.0,38351.88441858233,18385126352.579998,1502.241809795986,720144678.7799997
Brand#43,25.474426113569105,12102747.0,38228.96362582985,18162351244.850006,1500.4267920032676,712843766.3200004
Brand#44,25.528532120570247,12293137.0,38365.056418216365,18474501092.91,1502.820716215516,723675801.7900007
Brand#45,25.503273940691304,12152055.0,38108.439424479,18158290301.37,1494.2635009968726,712001615.5899998
Brand#51,25.478861060241666,12257345.0,38196.22316151819,18375400842.320007,1499.025027864446,721149461.3799998
Brand#52,25.553888744880503,12322724.0,38277.417145357416,18458327482.91998,1498.0733744828663,722408433.0100002
Brand#53,25.478530266238383,12286690.0,38196.84631210378,18419932575.00999,1499.0526586305068,722898656.9399997
Brand#54,25.490367805271653,12130968.0,38316.39013595176,18234923331.259987,1503.2324765919186,715394348.5400004
Brand#55,25.49781425133375,12120437.0,38108.68419179891,18115039247.939995,1494.908360393982,710607678.9300002
