main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-08 14:02:13,457 - main.py[line:581] - INFO: load query config config/query/customer_join_supplier.json successfully
2022-07-08 14:02:13,471 - main.py[line:588] - INFO: load train config ./config/train/tpch_customer_torch_cvae.json successfully
2022-07-08 14:02:13,480 - main.py[line:588] - INFO: load train config ./config/train/tpch_supplier_torch_cvae.json successfully
2022-07-08 14:02:13,480 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-customer_c_nationkey_c_acctbal_c_nationkey_binary_gaussian5_0
2022-07-08 14:02:15,189 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:1.7090185172855854
2022-07-08 14:02:15,189 - pytorch_cvae.py[line:276] - INFO: feature info:[('c_acctbal', 'numerical', 6), ('c_nationkey', 'categorical', 6)]
2022-07-08 14:02:15,201 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-customer_c_nationkey_ld100_id100_bs512_ep150_0_binary_gaussian5
2022-07-08 14:02:22,177 - model_utils.py[line:86] - INFO: load torch model time elapsed:6.975862797349691
2022-07-08 14:02:22,177 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:8.697065081447363
2022-07-08 14:02:22,177 - dataset_utils.py[line:567] - INFO: load existing dataset(light):tpch-1m-supplier_s_nationkey_s_acctbal_s_nationkey_binary_gaussian5_0
2022-07-08 14:02:22,324 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.14662862941622734
2022-07-08 14:02:22,324 - pytorch_cvae.py[line:276] - INFO: feature info:[('s_acctbal', 'numerical', 6), ('s_nationkey', 'categorical', 6)]
2022-07-08 14:02:22,326 - model_utils.py[line:75] - INFO: load model name:torch_cvae_tpch-1m-supplier_s_nationkey_ld100_id150_bs128_ep100_0_binary_gaussian5
2022-07-08 14:02:22,330 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.004181902855634689
2022-07-08 14:02:22,330 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.15287188813090324
2022-07-08 14:02:22,330 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-08 14:02:24,688 - pytorch_cvae.py[line:399] - INFO: sampling time:2.357093058526516
2022-07-08 14:02:25,641 - pytorch_cvae.py[line:399] - INFO: sampling time:0.13758613169193268
