ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,794.2213494874198,2081.135853877806,951.1537484672021,4022.1985576599022,21155555956989.766,55434906199920.75,25335740927116.93,107138704734662.14
2,834.22748943788,2158.7569159463906,924.0667733706603,5237.757897889665,33016324460000.67,85437389284765.11,36571904904343.81,207295391711655.47
3,814.4777439674207,2097.9548818118174,715.4717213808831,4008.1034881537,24545883190836.4,63225982354967.47,21562142648386.816,120792054498348.53
4,805.7727619050405,2114.961925055667,775.2320377046592,3864.5098340059835,21718075662841.555,57004785075871.24,20894908399885.566,104160528802571.06
5,848.8894080721568,2157.631593100353,755.8176793405139,4165.881565582986,13693462260401.941,34804824410601.19,12192119219979.9,67199969109245.664
6,836.8999030962151,2144.521273405567,769.4779953120916,4018.2082730475686,28617203752847.31,73330397107606.3,26311759021254.21,137399806650424.53
7,813.5558681113173,2112.170090499345,939.9381899980923,5542.617146238974,27334574121526.656,70966570531977.53,31580879852545.004,186225783808597.2
8,824.2151386606623,2125.635472744156,820.9458908287145,3332.798290027942,16007254963421.787,41282412049359.336,15943762216043.182,64726974145154.26
9,814.799721567301,2135.2860922961595,647.6219109190885,3951.8721345397034,20004764034268.285,52425023341777.4,15900255201901.387,97025400785605.19
10,830.5731603923217,2182.2430316853256,648.8614238135899,4021.4656577386245,20403744164834.28,53608677293361.95,15939839042799.137,98790763247644.73
11,826.8468572716957,2168.9046789000854,870.7228928751043,4870.1455004304,36683058259633.52,96223449355797.78,38629618443163.04,216063990029143.62
12,821.3882611102745,2132.741808729924,834.929191686686,4941.465272889053,17486653351810.387,45404248470464.01,17774928179028.605,105199568058374.23
13,820.0188020180269,2152.867700493731,881.9943093396593,4396.223202375881,23957981897805.703,62899003376346.38,25768681943786.297,128441732850558.9
14,824.5328276781353,2152.3921984087665,666.0561680156497,3840.851681601738,30200537136308.29,78836643415389.8,24395940782209.848,140680613253333.75
15,834.9091632327472,2210.0506687379648,789.6006860554236,3955.5961450426917,23721834558748.52,62793006280179.766,22434508647091.61,112388271043287.25
