c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,10054502.720114162,9268000.892441459,2.798052045071634e+21,2.579177665240824e+21
1,10175434.119036522,10038229.6806195,2.781426743741214e+21,2.743922290377485e+21
2,10086371.059073476,10044724.856870688,2.5375507989133294e+21,2.527073358310317e+21
3,10072308.12081336,9520918.015226012,2.693712757638617e+21,2.54625037423643e+21
4,10097928.915464777,9762177.8144786,2.7713272318519075e+21,2.6791819833483015e+21
5,10145091.249581857,10164136.908171786,2.369893768783253e+21,2.374342835480066e+21
6,10114748.696537016,10035569.653080076,2.6310497003198947e+21,2.6104536375990954e+21
7,10074712.944555826,9980974.399502426,2.552127034940577e+21,2.528381179712409e+21
8,10125602.920800705,10470419.163752727,2.81383823200882e+21,2.909660390454603e+21
9,10108691.418615235,9862878.624794649,2.691665442013175e+21,2.6262122814672753e+21
10,10080616.37788003,10283714.540158994,2.539793395824205e+21,2.5909636171602765e+21
11,10045799.439697562,8923256.582810905,3.106577480751783e+21,2.7594407116657535e+21
12,10063098.884237042,10507854.314879382,2.2785834920104055e+21,2.379289287899089e+21
13,10079063.079015182,9942301.162217883,2.11169652369196e+21,2.083043100054242e+21
14,10118753.409254145,10352972.720953457,2.2454827411620453e+21,2.297459047016743e+21
15,10109454.170752814,10655981.853550537,2.226190186083414e+21,2.3465403596256319e+21
16,10044456.600682363,9505714.115906468,2.604388890626316e+21,2.464700403927748e+21
17,10098707.635587083,10469672.633782065,2.862416319021017e+21,2.9675640570223646e+21
18,10040224.584594274,10404574.14282354,2.68224241393998e+21,2.7795782683672167e+21
19,10048841.422024542,10332103.462850688,2.54811626310196e+21,2.619943907965236e+21
20,10105377.670702362,9383483.712049037,2.693520426915591e+21,2.501104449298344e+21
21,10074154.805322146,10367789.406059189,2.5614879205090714e+21,2.636148425272616e+21
22,10078719.912622496,9201222.128962787,2.595533185858429e+21,2.369554625311907e+21
23,10117173.770137211,10520436.368812406,2.498937581850702e+21,2.598543270759469e+21
24,10128020.7998405,10142886.618263615,2.506200242969353e+21,2.5098788212898613e+21
