c_nationkey,avg(c_acctbal),avg(s_acctbal),sum(c_acctbal),sum(s_acctbal)
0,10087166.770652354,8100274.165420093,4.729611297193924e+21,3.798008804077829e+21
1,10182404.542354658,8178156.622246905,5.232240231325431e+21,4.202355143032418e+21
2,10100069.860259743,7897816.766954342,5.893881329535963e+21,4.608759684920751e+21
3,10084970.233668298,8389285.8389184,6.004959588898236e+21,4.995287172414095e+21
4,10113733.561157688,8075855.356276426,4.281517657692429e+21,3.4188084054005457e+21
5,10131042.754205765,8667855.13849137,4.1020008573468237e+21,3.509564619563891e+21
6,10123505.827093385,8787763.132167416,5.283288968709433e+21,4.586187118256625e+21
7,10096021.137230838,9006666.703912733,5.052344268688653e+21,4.50719944847338e+21
8,10102070.43714426,7956477.447028288,5.229156569581023e+21,4.1185286295244495e+21
9,10098961.150747979,7793885.036364032,5.174168613678584e+21,3.9931706570420005e+21
10,10065810.817958314,7716707.933406443,5.617299472696951e+21,4.3063653976036716e+21
11,10064164.288816685,8246890.572543412,5.582402794082631e+21,4.5743952158866245e+21
12,10066656.01921767,8109773.880540913,5.014344682674805e+21,4.039593829167676e+21
13,10108988.93815437,8822348.935007649,4.6216690916294116e+21,4.033437729326345e+21
14,10127539.149716096,8354846.12474233,5.605293321504807e+21,4.624160172862063e+21
15,10128466.179485045,8876251.338164032,4.549724667660309e+21,3.9872275775966465e+21
16,10029665.859772367,8305168.1518285,4.745998312044407e+21,3.9299728007805854e+21
17,10109351.322072947,8528505.150670426,5.021603477824473e+21,4.2363520428597403e+21
18,10062531.097002536,8755798.128327547,5.457170435019176e+21,4.748495405409358e+21
19,10065635.709377268,8654540.080820547,4.800793975068115e+21,4.1277734538198673e+21
20,10094591.183798658,7927308.921166523,5.209527541847071e+21,4.09105563619333e+21
21,10102743.648269085,8091784.399925143,5.308886749683255e+21,4.252148572473812e+21
22,10072703.250317395,7985319.588386768,5.421753334720135e+21,4.2981940429723025e+21
23,10126404.531081803,9063629.841881962,4.954403283698912e+21,4.434434483929733e+21
24,10132981.954947207,8369451.574319714,5.434361910587479e+21,4.488572964030945e+21
